scenario_point,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
"TOTAL_TAGS=100,prefix_length=80",SGCT,HT_EEAC,total_protocol_time_ms,76.753925,270.642600,193.888675,71.640117,55.461000,0.000000,7.843370,1.000000,50
"TOTAL_TAGS=100,prefix_length=88",SGCT,DRCT,total_protocol_time_ms,44.570000,289.961800,245.391800,84.629010,282.469279,0.000000,39.947189,1.000000,50
"TOTAL_TAGS=100,prefix_length=88",SGCT,LAPCT,total_protocol_time_ms,44.570000,294.583375,250.013375,84.870158,3771.083445,0.000000,533.311735,1.000000,50
"TOTAL_TAGS=100,prefix_length=88",SGCT,DQTA(k_max=3),total_protocol_time_ms,44.570000,139.043000,94.473000,67.945168,73.088137,0.000000,10.336224,1.000000,50
"TOTAL_TAGS=100,prefix_length=88",SGCT,EMDT,total_protocol_time_ms,44.570000,132.993600,88.423600,66.487109,56.686870,0.000000,8.016734,1.000000,50
"TOTAL_TAGS=100,prefix_length=88",SGCT,NLHQT(n=2),total_protocol_time_ms,44.570000,72.855250,28.285250,38.823901,157.389578,0.000000,22.258248,1.000000,50
"TOTAL_TAGS=100,prefix_length=88",SGCT,EAQ_CBB,total_protocol_time_ms,44.570000,288.635700,244.065700,84.558390,175.583382,0.000000,24.831240,1.000000,50
"TOTAL_TAGS=100,prefix_length=88",SGCT,HT_EEAC,total_protocol_time_ms,44.570000,261.943200,217.373200,82.984861,52.625180,0.000000,7.442324,1.000000,50
"TOTAL_TAGS=1000,prefix_length=0",SGCT,DRCT,total_protocol_time_ms,1754.112650,1478.403150,-275.709500,-18.649142,-89.345078,0.000000,-12.635302,0.000000,50
"TOTAL_TAGS=1000,prefix_length=0",SGCT,LAPCT,total_protocol_time_ms,1754.112650,2569.729150,815.616500,31.739396,367.092467,0.000000,51.914715,1.000000,50
"TOTAL_TAGS=1000,prefix_length=0",SGCT,DQTA(k_max=3),total_protocol_time_ms,1754.112650,1635.941900,-118.170750,-7.223408,-31.122050,0.000000,-4.401323,0.000000,50
"TOTAL_TAGS=1000,prefix_length=0",SGCT,EMDT,total_protocol_time_ms,1754.112650,1330.627000,-423.485650,-31.826023,-85.097277,0.000000,-12.034572,0.000000,50
"TOTAL_TAGS=1000,prefix_length=0",SGCT,NLHQT(n=2),total_protocol_time_ms,1754.112650,1813.796500,59.683850,3.290548,21.024665,0.000000,2.973337,1.000000,50
"TOTAL_TAGS=1000,prefix_length=0",SGCT,EAQ_CBB,total_protocol_time_ms,1754.112650,2235.353450,481.240800,21.528622,132.422919,0.000000,18.727429,1.000000,50
"TOTAL_TAGS=1000,prefix_length=0",SGCT,HT_EEAC,total_protocol_time_ms,1754.112650,2623.246200,869.133550,33.131985,120.244149,0.000000,17.005091,1.000000,50
"TOTAL_TAGS=1000,prefix_length=16",SGCT,DRCT,total_protocol_time_ms,1747.549800,1686.833225,-60.716575,-3.599441,-14.361158,0.000000,-2.030974,0.040000,50
"TOTAL_TAGS=1000,prefix_length=16",SGCT,LAPCT,total_protocol_time_ms,1747.549800,2659.340800,911.791000,34.286354,400.749579,0.000000,56.674549,1.000000,50
"TOTAL_TAGS=1000,prefix_length=16",SGCT,DQTA(k_max=3),total_protocol_time_ms,1747.549800,1630.967800,-116.582000,-7.148026,-29.435390,0.000000,-4.162793,0.000000,50
"TOTAL_TAGS=1000,prefix_length=16",SGCT,EMDT,total_protocol_time_ms,1747.549800,1324.258950,-423.290850,-31.964356,-84.963741,0.000000,-12.015687,0.000000,50
"TOTAL_TAGS=1000,prefix_length=16",SGCT,NLHQT(n=2),total_protocol_time_ms,1747.549800,1639.198500,-108.351300,-6.610017,-38.131617,0.000000,-5.392625,0.000000,50
"TOTAL_TAGS=1000,prefix_length=16",SGCT,EAQ_CBB,total_protocol_time_ms,1747.549800,2363.453650,615.903850,26.059485,183.125413,0.000000,25.897844,1.000000,50
"TOTAL_TAGS=1000,prefix_length=16",SGCT,HT_EEAC,total_protocol_time_ms,1747.549800,2600.781300,853.231500,32.806738,119.356369,0.000000,16.879540,1.000000,50
"TOTAL_TAGS=1000,prefix_length=32",SGCT,DRCT,total_protocol_time_ms,1747.452700,1900.925275,153.472575,8.073572,33.393635,0.000000,4.722573,1.000000,50
"TOTAL_TAGS=1000,prefix_length=32",SGCT,LAPCT,total_protocol_time_ms,1747.452700,2748.693500,1001.240800,36.426062,384.744632,0.000000,54.411108,1.000000,50
"TOTAL_TAGS=1000,prefix_length=32",SGCT,DQTA(k_max=3),total_protocol_time_ms,1747.452700,1613.355575,-134.097125,-8.311691,-31.923368,0.000000,-4.514646,0.000000,50
"TOTAL_TAGS=1000,prefix_length=32",SGCT,EMDT,total_protocol_time_ms,1747.452700,1340.393600,-407.059100,-30.368625,-68.761267,0.000000,-9.724312,0.000000,50
"TOTAL_TAGS=1000,prefix_length=32",SGCT,NLHQT(n=2),total_protocol_time_ms,1747.452700,1461.022950,-286.429750,-19.604740,-97.081851,0.000000,-13.729447,0.000000,50
"TOTAL_TAGS=1000,prefix_length=32",SGCT,EAQ_CBB,total_protocol_time_ms,1747.452700,2491.726525,744.273825,29.869804,213.331863,0.000000,30.169681,1.000000,50
"TOTAL_TAGS=1000,prefix_length=32",SGCT,HT_EEAC,total_protocol_time_ms,1747.452700,2610.182700,862.730000,33.052476,108.864469,0.000000,15.395761,1.000000,50
"TOTAL_TAGS=1000,prefix_length=48",SGCT,DRCT,total_protocol_time_ms,1740.025875,2109.180550,369.154675,17.502279,55.633065,0.000000,7.867703,1.000000,50
"TOTAL_TAGS=1000,prefix_length=48",SGCT,LAPCT,total_protocol_time_ms,1740.025875,2838.263800,1098.237925,38.694005,305.789865,0.000000,43.245217,1.000000,50
"TOTAL_TAGS=1000,prefix_length=48",SGCT,DQTA(k_max=3),total_protocol_time_ms,1740.025875,1611.914975,-128.110900,-7.947746,-27.872938,0.000000,-3.941829,0.000000,50
"TOTAL_TAGS=1000,prefix_length=48",SGCT,EMDT,total_protocol_time_ms,1740.025875,1322.578600,-417.447275,-31.563135,-55.160510,0.000000,-7.800874,0.000000,50
"TOTAL_TAGS=1000,prefix_length=48",SGCT,NLHQT(n=2),total_protocol_time_ms,1740.025875,1290.407800,-449.618075,-34.843100,-126.639843,0.000000,-17.909578,0.000000,50
"TOTAL_TAGS=1000,prefix_length=48",SGCT,EAQ_CBB,total_protocol_time_ms,1740.025875,2612.324750,872.298875,33.391671,159.489030,0.000000,22.555155,1.000000,50
"TOTAL_TAGS=1000,prefix_length=48",SGCT,HT_EEAC,total_protocol_time_ms,1740.025875,2596.444500,856.418625,32.984284,90.623076,0.000000,12.816038,1.000000,50
"TOTAL_TAGS=1000,prefix_length=64",SGCT,DRCT,total_protocol_time_ms,931.058100,2331.865725,1400.807625,60.072397,230.227472,0.000000,32.559081,1.000000,50
"TOTAL_TAGS=1000,prefix_length=64",SGCT,LAPCT,total_protocol_time_ms,931.058100,2927.921975,1996.863875,68.200720,527.504342,0.000000,74.600379,1.000000,50
"TOTAL_TAGS=1000,prefix_length=64",SGCT,DQTA(k_max=3),total_protocol_time_ms,931.058100,1609.073275,678.015175,42.136998,188.843350,0.000000,26.706483,1.000000,50
"TOTAL_TAGS=1000,prefix_length=64",SGCT,EMDT,total_protocol_time_ms,931.058100,1333.727450,402.669350,30.191277,60.365441,0.000000,8.536963,1.000000,50
"TOTAL_TAGS=1000,prefix_length=64",SGCT,NLHQT(n=2),total_protocol_time_ms,931.058100,1120.351800,189.293700,16.895916,65.060974,0.000000,9.201011,1.000000,50
"TOTAL_TAGS=1000,prefix_length=64",SGCT,EAQ_CBB,total_protocol_time_ms,931.058100,2732.702025,1801.643925,65.929030,365.086365,0.000000,51.631009,1.000000,50
"TOTAL_TAGS=1000,prefix_length=64",SGCT,HT_EEAC,total_protocol_time_ms,931.058100,2605.277550,1674.219450,64.262614,160.558388,0.000000,22.706385,1.000000,50
"TOTAL_TAGS=1000,prefix_length=72",SGCT,DRCT,total_protocol_time_ms,889.190000,2432.704950,1543.514950,63.448506,185.244008,0.000000,26.197459,1.000000,50
"TOTAL_TAGS=1000,prefix_length=72",SGCT,LAPCT,total_protocol_time_ms,889.190000,2972.732825,2083.542825,70.088466,484.565255,0.000000,68.527876,1.000000,50
"TOTAL_TAGS=1000,prefix_length=72",SGCT,DQTA(k_max=3),total_protocol_time_ms,889.190000,1603.166400,713.976400,44.535389,189.279680,0.000000,26.768189,1.000000,50
"TOTAL_TAGS=1000,prefix_length=72",SGCT,EMDT,total_protocol_time_ms,889.190000,1340.265750,451.075750,33.655695,66.781351,0.000000,9.444309,1.000000,50
"TOTAL_TAGS=1000,prefix_length=72",SGCT,NLHQT(n=2),total_protocol_time_ms,889.190000,1033.061950,143.871950,13.926750,40.397547,0.000000,5.713076,1.000000,50
"TOTAL_TAGS=1000,prefix_length=72",SGCT,EAQ_CBB,total_protocol_time_ms,889.190000,2794.243900,1905.053900,68.177796,345.717403,0.000000,48.891824,1.000000,50
"TOTAL_TAGS=1000,prefix_length=72",SGCT,HT_EEAC,total_protocol_time_ms,889.190000,2607.511350,1718.321350,65.898902,188.647704,0.000000,26.678814,1.000000,50
"TOTAL_TAGS=1000,prefix_length=80",SGCT,DRCT,total_protocol_time_ms,697.940850,2464.961125,1767.020275,71.685523,313.687486,0.000000,44.362110,1.000000,50
"TOTAL_TAGS=1000,prefix_length=80",SGCT,LAPCT,total_protocol_time_ms,697.940850,3017.322625,2319.381775,76.868869,919.398939,0.000000,130.022645,1.000000,50
"TOTAL_TAGS=1000,prefix_length=80",SGCT,DQTA(k_max=3),total_protocol_time_ms,697.940850,1583.629200,885.688350,55.927761,227.570588,0.000000,32.183341,1.000000,50
"TOTAL_TAGS=1000,prefix_length=80",SGCT,EMDT,total_protocol_time_ms,697.940850,1330.482350,632.541500,47.542269,106.272959,0.000000,15.029266,1.000000,50
"TOTAL_TAGS=1000,prefix_length=80",SGCT,NLHQT(n=2),total_protocol_time_ms,697.940850,935.410000,237.469150,25.386638,130.946705,0.000000,18.518661,1.000000,50
"TOTAL_TAGS=1000,prefix_length=80",SGCT,EAQ_CBB,total_protocol_time_ms,697.940850,2855.759425,2157.818575,75.560236,408.415692,0.000000,57.758701,1.000000,50
"TOTAL_TAGS=1000,prefix_length=80",SGCT,HT_EEAC,total_protocol_time_ms,697.940850,2602.179600,1904.238750,73.178606,212.591296,0.000000,30.064949,1.000000,50
"TOTAL_TAGS=10000,prefix_length=0",SGCT,DRCT,total_protocol_time_ms,11245.049775,15241.644800,3996.595025,26.221547,339.151792,0.000000,47.963306,1.000000,50
"TOTAL_TAGS=10000,prefix_length=0",SGCT,LAPCT,total_protocol_time_ms,11245.049775,25910.410525,14665.360750,56.600264,2834.790117,0.000000,400.899863,1.000000,50
"TOTAL_TAGS=10000,prefix_length=0",SGCT,DQTA(k_max=3),total_protocol_time_ms,11245.049775,16380.742100,5135.692325,31.352013,490.288876,0.000000,69.337318,1.000000,50
"TOTAL_TAGS=10000,prefix_length=0",SGCT,EMDT,total_protocol_time_ms,11245.049775,13686.426650,2441.376875,17.837942,165.277382,0.000000,23.373751,1.000000,50
"TOTAL_TAGS=10000,prefix_length=0",SGCT,NLHQT(n=2),total_protocol_time_ms,11245.049775,18434.559750,7189.509975,39.000172,1351.166054,0.000000,191.083736,1.000000,50
"TOTAL_TAGS=10000,prefix_length=0",SGCT,EAQ_CBB,total_protocol_time_ms,11245.049775,22369.487050,11124.437275,49.730408,1412.673863,0.000000,199.782254,1.000000,50
"TOTAL_TAGS=10000,prefix_length=0",SGCT,HT_EEAC,total_protocol_time_ms,11245.049775,79511.607450,68266.557675,85.857348,299.895068,0.000000,42.411567,1.000000,50
"TOTAL_TAGS=10000,prefix_length=16",SGCT,DRCT,total_protocol_time_ms,10623.600450,17280.335300,6656.734850,38.522024,385.579308,0.000000,54.529149,1.000000,50
"TOTAL_TAGS=10000,prefix_length=16",SGCT,LAPCT,total_protocol_time_ms,10623.600450,26899.502475,16275.902025,60.506331,2494.518883,0.000000,352.778244,1.000000,50
"TOTAL_TAGS=10000,prefix_length=16",SGCT,DQTA(k_max=3),total_protocol_time_ms,10623.600450,16296.789850,5673.189400,34.811699,601.885655,0.000000,85.119486,1.000000,50
"TOTAL_TAGS=10000,prefix_length=16",SGCT,EMDT,total_protocol_time_ms,10623.600450,13717.258900,3093.658450,22.553037,181.825502,0.000000,25.714009,1.000000,50
"TOTAL_TAGS=10000,prefix_length=16",SGCT,NLHQT(n=2),total_protocol_time_ms,10623.600450,16715.549250,6091.948800,36.444802,1095.629159,0.000000,154.945362,1.000000,50
"TOTAL_TAGS=10000,prefix_length=16",SGCT,EAQ_CBB,total_protocol_time_ms,10623.600450,23626.266875,13002.666425,55.034790,1180.538216,0.000000,166.953316,1.000000,50
"TOTAL_TAGS=10000,prefix_length=16",SGCT,HT_EEAC,total_protocol_time_ms,10623.600450,79535.075850,68911.475400,86.642874,344.085586,0.000000,48.661050,1.000000,50
"TOTAL_TAGS=10000,prefix_length=32",SGCT,DRCT,total_protocol_time_ms,10001.386925,19240.889825,9239.502900,48.020143,479.752552,0.000000,67.847257,1.000000,50
"TOTAL_TAGS=10000,prefix_length=32",SGCT,LAPCT,total_protocol_time_ms,10001.386925,27888.860775,17887.473850,64.138417,1936.004769,0.000000,273.792420,1.000000,50
"TOTAL_TAGS=10000,prefix_length=32",SGCT,DQTA(k_max=3),total_protocol_time_ms,10001.386925,16232.790150,6231.403225,38.387752,656.626141,0.000000,92.860959,1.000000,50
"TOTAL_TAGS=10000,prefix_length=32",SGCT,EMDT,total_protocol_time_ms,10001.386925,13692.749500,3691.362575,26.958520,204.310208,0.000000,28.893827,1.000000,50
"TOTAL_TAGS=10000,prefix_length=32",SGCT,NLHQT(n=2),total_protocol_time_ms,10001.386925,14997.701450,4996.314525,33.313868,809.635065,0.000000,114.499689,1.000000,50
"TOTAL_TAGS=10000,prefix_length=32",SGCT,EAQ_CBB,total_protocol_time_ms,10001.386925,24849.818325,14848.431400,59.752676,1147.576198,0.000000,162.291782,1.000000,50
"TOTAL_TAGS=10000,prefix_length=32",SGCT,HT_EEAC,total_protocol_time_ms,10001.386925,79796.089950,69794.703025,87.466320,307.813916,0.000000,43.531462,1.000000,50
"TOTAL_TAGS=10000,prefix_length=48",SGCT,DRCT,total_protocol_time_ms,9367.406225,21203.110850,11835.704625,55.820604,560.918272,0.000000,79.325823,1.000000,50
"TOTAL_TAGS=10000,prefix_length=48",SGCT,LAPCT,total_protocol_time_ms,9367.406225,28878.293725,19510.887500,67.562466,1863.357418,0.000000,263.518533,1.000000,50
"TOTAL_TAGS=10000,prefix_length=48",SGCT,DQTA(k_max=3),total_protocol_time_ms,9367.406225,16143.265550,6775.859325,41.973288,644.904830,0.000000,91.203316,1.000000,50
"TOTAL_TAGS=10000,prefix_length=48",SGCT,EMDT,total_protocol_time_ms,9367.406225,13656.873850,4289.467625,31.408854,216.133900,0.000000,30.565949,1.000000,50
"TOTAL_TAGS=10000,prefix_length=48",SGCT,NLHQT(n=2),total_protocol_time_ms,9367.406225,13267.331150,3899.924925,29.394947,536.052909,0.000000,75.809329,1.000000,50
"TOTAL_TAGS=10000,prefix_length=48",SGCT,EAQ_CBB,total_protocol_time_ms,9367.406225,26126.115700,16758.709475,64.145431,1087.546667,0.000000,153.802325,1.000000,50
"TOTAL_TAGS=10000,prefix_length=48",SGCT,HT_EEAC,total_protocol_time_ms,9367.406225,79388.980800,70021.574575,88.200622,287.841349,0.000000,40.706914,1.000000,50
"TOTAL_TAGS=10000,prefix_length=64",SGCT,DRCT,total_protocol_time_ms,8770.737550,23145.288300,14374.550750,62.105732,577.560560,0.000000,81.679398,1.000000,50
"TOTAL_TAGS=10000,prefix_length=64",SGCT,LAPCT,total_protocol_time_ms,8770.737550,29867.887375,21097.149825,70.634891,2410.717873,0.000000,340.926991,1.000000,50
"TOTAL_TAGS=10000,prefix_length=64",SGCT,DQTA(k_max=3),total_protocol_time_ms,8770.737550,16087.873475,7317.135925,45.482307,713.698930,0.000000,100.932271,1.000000,50
"TOTAL_TAGS=10000,prefix_length=64",SGCT,EMDT,total_protocol_time_ms,8770.737550,13693.525600,4922.788050,35.949749,244.616777,0.000000,34.594036,1.000000,50
"TOTAL_TAGS=10000,prefix_length=64",SGCT,NLHQT(n=2),total_protocol_time_ms,8770.737550,11560.622450,2789.884900,24.132653,419.119792,0.000000,59.272489,1.000000,50
"TOTAL_TAGS=10000,prefix_length=64",SGCT,EAQ_CBB,total_protocol_time_ms,8770.737550,27368.019175,18597.281625,67.952604,1227.484359,0.000000,173.592503,1.000000,50
"TOTAL_TAGS=10000,prefix_length=64",SGCT,HT_EEAC,total_protocol_time_ms,8770.737550,79343.962800,70573.225250,88.945930,289.614612,0.000000,40.957691,1.000000,50
"TOTAL_TAGS=10000,prefix_length=72",SGCT,DRCT,total_protocol_time_ms,8060.917050,24025.092650,15964.175600,66.447925,624.160805,0.000000,88.269668,1.000000,50
"TOTAL_TAGS=10000,prefix_length=72",SGCT,LAPCT,total_protocol_time_ms,8060.917050,30362.173925,22301.256875,73.450791,2299.257202,0.000000,325.164072,1.000000,50
"TOTAL_TAGS=10000,prefix_length=72",SGCT,DQTA(k_max=3),total_protocol_time_ms,8060.917050,16061.980475,8001.063425,49.813679,643.214705,0.000000,90.964296,1.000000,50
"TOTAL_TAGS=10000,prefix_length=72",SGCT,EMDT,total_protocol_time_ms,8060.917050,13713.177150,5652.260100,41.217728,329.695991,0.000000,46.626054,1.000000,50
"TOTAL_TAGS=10000,prefix_length=72",SGCT,NLHQT(n=2),total_protocol_time_ms,8060.917050,10690.265600,2629.348550,24.595727,346.279996,0.000000,48.971387,1.000000,50
"TOTAL_TAGS=10000,prefix_length=72",SGCT,EAQ_CBB,total_protocol_time_ms,8060.917050,27979.468700,19918.551650,71.189885,1448.880428,0.000000,204.902635,1.000000,50
"TOTAL_TAGS=10000,prefix_length=72",SGCT,HT_EEAC,total_protocol_time_ms,8060.917050,79734.549750,71673.632700,89.890308,388.719096,0.000000,54.973182,1.000000,50
"TOTAL_TAGS=10000,prefix_length=80",SGCT,DRCT,total_protocol_time_ms,5490.737500,21784.426450,16293.688950,74.795125,1087.534198,0.000000,153.800561,1.000000,50
"TOTAL_TAGS=10000,prefix_length=80",SGCT,LAPCT,total_protocol_time_ms,5490.737500,30839.286275,25348.548775,82.195640,160760.211680,0.000000,22734.927165,1.000000,50
"TOTAL_TAGS=10000,prefix_length=80",SGCT,DQTA(k_max=3),total_protocol_time_ms,5490.737500,14780.510225,9289.772725,62.851502,824.135677,0.000000,116.550385,1.000000,50
