scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
"TOTAL_TAGS=100,prefix_length=0",SGCT,total_listening_energy_uj,561.689490,16.955845,594.698587,4.699920,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,total_transmission_energy_uj,13.482750,0.581561,14.618050,0.161201,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,total_bits,15606.840000,358.048529,16303.400000,99.245989,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,avg_tag_bits,118.206200,0.936306,119.935000,0.259531,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,avg_reader_bits,37.862200,2.686941,43.087000,0.744782,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,avg_total_bits,156.068400,3.580485,163.034000,0.992460,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,avg_query_efficiency,3.323066,0.569113,4.347826,0.157750,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,peak_stack_depth,14.820000,2.670244,19.550000,0.740154,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,progressive_probe_count,16.020000,2.736675,21.550000,0.758567,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,signature_grouping_trigger_count,15.960000,2.679933,21.100000,0.742840,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,local_short_id_trigger_count,1.000000,0.000000,1.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,signature_groups_pruned,380.400000,40.198995,457.500000,11.142593,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,sparse_signature_groups,114.960000,2.679933,120.100000,0.742840,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,signature_marker_bits,132.020000,5.680220,142.100000,1.574477,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,signature_marker_tag_bits,132.020000,5.680220,142.100000,1.574477,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,signature_non_idle_marker_count,114.960000,2.679933,120.100000,0.742840,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,signature_collision_groups,14.960000,2.679933,20.100000,0.742840,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,signature_singleton_groups,100.000000,0.000000,100.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,low_d_fallback_count,0.000000,0.000000,0.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,suffix_signature_trigger_count,0.000000,0.000000,0.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,hash_short_id_round_count,0.000000,0.000000,0.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,hash_short_id_split_count,0.000000,0.000000,0.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,hash_short_id_collision_groups,0.000000,0.000000,0.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,hash_short_id_singleton_groups,0.000000,0.000000,0.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,small_cluster_guard_count,0.000000,0.000000,0.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,max_signature_d,8.000000,0.000000,8.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,epc_verification_count,100.000000,0.000000,100.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,verify_fail_count,0.000000,0.000000,0.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,avg_tag_responses,2.641600,0.114488,2.851000,0.031735,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),total_protocol_time_ms,160.757625,5.766940,169.997187,1.598514,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),throughput_tags_per_sec,622.834559,22.208479,655.630833,6.155876,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),system_efficiency,0.344923,0.021704,0.378937,0.006016,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),collision_slots,90.400000,4.969293,99.000000,1.377418,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),idle_slots,100.600000,16.353243,124.200000,4.532888,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),total_energy_uj,878.382032,32.566138,928.076325,9.026873,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),total_listening_energy_uj,847.922473,31.883528,896.607331,8.837663,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),total_transmission_energy_uj,30.459560,0.814860,31.774075,0.225868,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),total_bits,48349.540000,983.381260,49981.950000,272.579379,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),avg_tag_bits,441.596800,7.970220,454.326000,2.209232,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),avg_reader_bits,41.898600,2.404099,45.841000,0.666382,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),avg_total_bits,483.495400,9.833813,499.819500,2.725794,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),avg_query_efficiency,1.109432,0.060210,1.204819,0.016689,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),peak_stack_depth,11.120000,1.222911,13.550000,0.338974,50
"TOTAL_TAGS=100,prefix_length=16",DQTA(k_max=3),avg_tag_responses,2.929000,0.056216,3.020000,0.015582,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,total_protocol_time_ms,173.025225,7.502508,186.291562,2.079589,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,throughput_tags_per_sec,578.994762,24.611816,615.817509,6.822047,50
"TOTAL_TAGS=100,prefix_length=16",DRCT,system_efficiency,0.315703,0.017755,0.342716,0.004921,50
