TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,peak_unidentified_tags_count,min_tag_responses,max_tag_responses,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,2608777085,3123768421,16371852.500000,337195.000000,9094787.000000,34839,8183496.019500,5221.783500,8188717.803000,10000,10000,10923,9277,,,,,,,,,,,,,,,,,,,,5.158600,,610.804428,DQTA(k_max=3),5,27.000000,,,,,,,,,,,,30200,0.331126,909.478700,33.719500,9431982.000000,943.198200,1.077935,16371.852500,,,,,,,,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_extended_baseline_screen,3513520067,1843871071,15995755.000000,772502.000000,4140538.000000,34682,8006205.049875,3615.273000,8009820.322875,10000,10000,10943,9159,,,,,,,,,,,,,,,,,,,,5.155700,,625.165864,DQTA(k_max=3),5,26.000000,,,,,,,,,48.000000,,,30102,0.332204,414.053800,77.250200,4913040.000000,491.304000,1.091822,15995.755000,,,,,,,,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_extended_baseline_screen,1840913042,2031035863,14779197.500000,993716.000000,848145.000000,31431,7365013.958250,2411.504500,7367425.462750,10000,10000,8556,8583,,,,,,,,,,,,,,,,,,,,5.065500,,676.626725,DQTA(k_max=3),5,27.000000,,,,,,,,,80.000000,,,27139,0.368473,84.814500,99.371600,1841861.000000,184.186100,1.165094,14779.197500,,,,,,,,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_extended_baseline_screen,3399855602,753944826,16166795.000000,906154.000000,5626837.000000,35256,8125020.259500,4625.726500,8129645.986000,10000,10000,11289,9311,,,,,,,,,,,,,,,,,,,,6.045600,,618.551791,DQTA(k_max=3),5,24.000000,,,,,,,,,,8.000000,64.000000,30600,0.326797,562.683700,90.615400,6532991.000000,653.299100,1.073998,16166.795000,,,,,,,,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,1011355210,2187299195,16360195.000000,336456.000000,9105989.000000,35075,8223374.124375,5225.906500,8228600.030875,10000,10000,11198,9251,,,,,,,,,,,,,,,,,,,,5.165900,,611.239658,DQTA(k_max=3),6,27.000000,,,,,,,,,,,,30449,0.328418,910.598900,33.645600,9442445.000000,944.244500,1.080964,16360.195000,,,,,,,,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_extended_baseline_screen,4182455193,253876598,16092098.750000,778811.000000,4144403.000000,34794,8063211.046125,3629.823500,8066840.869625,10000,10000,10950,9229,,,,,,,,,,,,,,,,,,,,5.162600,,621.422983,DQTA(k_max=3),6,27.000000,,,,,,,,,48.000000,,,30179,0.331356,414.440300,77.881100,4923214.000000,492.321400,1.083541,16092.098750,,,,,,,,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_extended_baseline_screen,234351616,3928047820,14692075.000000,987003.000000,847785.000000,31406,7349784.313625,2397.898500,7352182.212125,10000,10000,8618,8525,,,,,,,,,,,,,,,,,,,,5.063100,,680.639052,DQTA(k_max=3),6,27.000000,,,,,,,,,80.000000,,,27143,0.368419,84.778500,98.700300,1834788.000000,183.478800,1.173021,14692.075000,,,,,,,,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_extended_baseline_screen,1672192143,876494149,16154681.250000,906237.000000,4473737.000000,35150,8093627.047250,4049.342500,8097676.389750,10000,10000,11192,9305,,,,,,,,,,,,,,,,,,,,5.424600,,619.015618,DQTA(k_max=3),6,28.000000,,,,,,,,,,8.000000,64.000000,30497,0.327901,447.373700,90.623700,5379974.000000,537.997400,1.074691,16154.681250,,,,,,,,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,2772753435,1270291337,16533338.750000,343161.000000,9129916.000000,35178,8267071.406000,5251.280000,8272322.686000,10000,10000,11046,9421,,,,,,,,,,,,,,,,,,,,5.180900,,604.838512,DQTA(k_max=3),7,26.000000,,,,,,,,,,,,30467,0.328224,912.991600,34.316100,9473077.000000,947.307700,1.061458,16533.338750,,,,,,,,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_extended_baseline_screen,1416235163,4185778191,16072705.000000,777035.000000,4142273.000000,34887,8045832.931500,3625.206500,8049458.138000,10000,10000,11073,9209,,,,,,,,,,,,,,,,,,,,5.159200,,622.172808,DQTA(k_max=3),7,26.000000,,,,,,,,,48.000000,,,30282,0.330229,414.227300,77.703500,4919308.000000,491.930800,1.085894,16072.705000,,,,,,,,,,,,,
