scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
scenario_label=dispersed,HT_EEAC,total_energy_uj,46713533.750176,289545.679023,48211362.957394,50,46713533.7502 +/- 289545.6790
scenario_label=dispersed,LAPCT,total_energy_uj,15194054.093485,28090.687457,15337861.656456,50,15194054.0935 +/- 28090.6875
scenario_label=dispersed,NLHQT(n=2),total_energy_uj,4592575.960270,2368.626876,4606391.721087,50,4592575.9603 +/- 2368.6269
scenario_label=dispersed,SGCT,total_energy_uj,3390327.140085,47763.507970,3620656.907825,50,3390327.1401 +/- 47763.5080
scenario_label=dispersed,DQTA(k_max=3),total_protocol_time_ms,23356.331025,1073.410328,29882.111875,50,23356.3310 +/- 1073.4103
scenario_label=dispersed,DRCT,total_protocol_time_ms,58715.508350,4022.348734,82742.471750,50,58715.5083 +/- 4022.3487
scenario_label=dispersed,EAQ_CBB,total_protocol_time_ms,32262.238300,739.869106,35444.875000,50,32262.2383 +/- 739.8691
scenario_label=dispersed,EMDT,total_protocol_time_ms,13711.498800,27.966120,13874.507000,50,13711.4988 +/- 27.9661
scenario_label=dispersed,HT_EEAC,total_protocol_time_ms,79474.367100,420.304825,81583.747875,50,79474.3671 +/- 420.3048
scenario_label=dispersed,LAPCT,total_protocol_time_ms,30360.683375,56.108101,30647.705000,50,30360.6834 +/- 56.1081
scenario_label=dispersed,NLHQT(n=2),total_protocol_time_ms,9177.001925,4.277257,9202.133750,50,9177.0019 +/- 4.2773
scenario_label=dispersed,SGCT,total_protocol_time_ms,6718.748900,95.276407,7173.207500,50,6718.7489 +/- 95.2764
scenario_label=prefix64,DQTA(k_max=3),avg_total_bits,342.511278,0.206848,343.666560,50,342.5113 +/- 0.2068
scenario_label=prefix64,DRCT,avg_total_bits,488.321342,0.275642,489.944660,50,488.3213 +/- 0.2756
scenario_label=prefix64,EAQ_CBB,avg_total_bits,251.031778,0.195510,252.285955,50,251.0318 +/- 0.1955
scenario_label=prefix64,EMDT,avg_total_bits,172.174964,0.139649,172.994840,50,172.1750 +/- 0.1396
scenario_label=prefix64,HT_EEAC,avg_total_bits,704.359532,3.674113,725.905520,50,704.3595 +/- 3.6741
scenario_label=prefix64,LAPCT,avg_total_bits,476.857856,0.075283,477.088065,50,476.8579 +/- 0.0753
scenario_label=prefix64,NLHQT(n=2),avg_total_bits,146.718516,0.059250,147.066250,50,146.7185 +/- 0.0592
scenario_label=prefix64,SGCT,avg_total_bits,113.248284,0.148665,114.049575,50,113.2483 +/- 0.1487
scenario_label=prefix64,DQTA(k_max=3),system_efficiency,0.330497,0.000495,0.333259,50,0.3305 +/- 0.0005
scenario_label=prefix64,DRCT,system_efficiency,0.345252,0.000559,0.348771,50,0.3453 +/- 0.0006
scenario_label=prefix64,EAQ_CBB,system_efficiency,0.545842,0.000434,0.548065,50,0.5458 +/- 0.0004
scenario_label=prefix64,EMDT,system_efficiency,0.501971,0.001451,0.510198,50,0.5020 +/- 0.0015
scenario_label=prefix64,HT_EEAC,system_efficiency,0.061532,0.000365,0.063630,50,0.0615 +/- 0.0004
scenario_label=prefix64,LAPCT,system_efficiency,0.498968,0.000006,0.498977,50,0.4990 +/- 0.0000
scenario_label=prefix64,NLHQT(n=2),system_efficiency,0.354519,0.000278,0.356061,50,0.3545 +/- 0.0003
scenario_label=prefix64,SGCT,system_efficiency,0.841256,0.000773,0.845251,50,0.8413 +/- 0.0008
scenario_label=prefix64,DQTA(k_max=3),throughput_tags_per_sec,621.479709,0.898357,626.522912,50,621.4797 +/- 0.8984
scenario_label=prefix64,DRCT,throughput_tags_per_sec,432.221346,0.667554,436.306200,50,432.2213 +/- 0.6676
scenario_label=prefix64,EAQ_CBB,throughput_tags_per_sec,365.314057,0.279111,366.767319,50,365.3141 +/- 0.2791
scenario_label=prefix64,EMDT,throughput_tags_per_sec,730.600821,1.548690,739.788109,50,730.6008 +/- 1.5487
scenario_label=prefix64,HT_EEAC,throughput_tags_per_sec,125.560952,0.697092,129.577546,50,125.5610 +/- 0.6971
scenario_label=prefix64,LAPCT,throughput_tags_per_sec,334.810690,0.003699,334.836936,50,334.8107 +/- 0.0037
scenario_label=prefix64,NLHQT(n=2),throughput_tags_per_sec,866.016145,0.662194,870.026905,50,866.0161 +/- 0.6622
scenario_label=prefix64,SGCT,throughput_tags_per_sec,1144.789421,2.410850,1157.404160,50,1144.7894 +/- 2.4108
scenario_label=prefix64,DQTA(k_max=3),total_bits,3425112.780000,2068.481492,3436665.600000,50,3425112.7800 +/- 2068.4815
scenario_label=prefix64,DRCT,total_bits,4883213.420000,2756.415869,4899446.600000,50,4883213.4200 +/- 2756.4159
scenario_label=prefix64,EAQ_CBB,total_bits,2510317.780000,1955.095410,2522859.550000,50,2510317.7800 +/- 1955.0954
scenario_label=prefix64,EMDT,total_bits,1721749.640000,1396.492873,1729948.400000,50,1721749.6400 +/- 1396.4929
scenario_label=prefix64,HT_EEAC,total_bits,7043595.320000,36741.130050,7259055.200000,50,7043595.3200 +/- 36741.1300
scenario_label=prefix64,LAPCT,total_bits,4768578.560000,752.829031,4770880.650000,50,4768578.5600 +/- 752.8290
scenario_label=prefix64,NLHQT(n=2),total_bits,1467185.160000,592.496293,1470662.500000,50,1467185.1600 +/- 592.4963
scenario_label=prefix64,SGCT,total_bits,1132482.840000,1486.648280,1140495.750000,50,1132482.8400 +/- 1486.6483
