scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
scenario_label=prefix64,SGCT(no_suffix_extension),total_energy_uj,4404054.265950,12663.946236,4476902.588850,50,4404054.2659 +/- 12663.9462
scenario_label=prefix64,SGCT,total_protocol_time_ms,8757.723700,21.202942,8891.359375,50,8757.7237 +/- 21.2029
scenario_label=prefix64,SGCT(d10),total_protocol_time_ms,15564.419875,8.457219,15617.958062,50,15564.4199 +/- 8.4572
scenario_label=prefix64,SGCT(d4),total_protocol_time_ms,16869.819400,25.215550,17025.145062,50,16869.8194 +/- 25.2156
scenario_label=prefix64,SGCT(d6),total_protocol_time_ms,16610.585775,26.020476,16747.374063,50,16610.5858 +/- 26.0205
scenario_label=prefix64,SGCT(d8),total_protocol_time_ms,8754.882825,22.943335,8920.201687,50,8754.8828 +/- 22.9433
scenario_label=prefix64,SGCT(no_local_short_id),total_protocol_time_ms,8862.489700,23.620354,9032.487563,50,8862.4897 +/- 23.6204
scenario_label=prefix64,SGCT(no_low_d_fallback),total_protocol_time_ms,8764.594025,23.276093,8928.662688,50,8764.5940 +/- 23.2761
scenario_label=prefix64,SGCT(no_signature_grouping),total_protocol_time_ms,16159.648575,34.070247,16405.254187,50,16159.6486 +/- 34.0702
scenario_label=prefix64,SGCT(no_suffix_extension),total_protocol_time_ms,8754.882825,22.943335,8920.201687,50,8754.8828 +/- 22.9433
scenario_label=prefix72,SGCT,avg_total_bits,102.983008,0.119845,103.608670,50,102.9830 +/- 0.1198
scenario_label=prefix72,SGCT(d10),avg_total_bits,108.074380,0.026353,108.245230,50,108.0744 +/- 0.0264
scenario_label=prefix72,SGCT(d4),avg_total_bits,206.580114,0.185318,207.534780,50,206.5801 +/- 0.1853
scenario_label=prefix72,SGCT(d6),avg_total_bits,172.874478,0.137152,173.771965,50,172.8745 +/- 0.1372
scenario_label=prefix72,SGCT(d8),avg_total_bits,103.143280,0.157782,104.038100,50,103.1433 +/- 0.1578
scenario_label=prefix72,SGCT(no_local_short_id),avg_total_bits,120.273168,0.167813,121.228540,50,120.2732 +/- 0.1678
scenario_label=prefix72,SGCT(no_low_d_fallback),avg_total_bits,105.531300,0.169227,106.492690,50,105.5313 +/- 0.1692
scenario_label=prefix72,SGCT(no_signature_grouping),avg_total_bits,128.160544,0.190312,129.230800,50,128.1605 +/- 0.1903
scenario_label=prefix72,SGCT(no_suffix_extension),avg_total_bits,103.143280,0.157782,104.038100,50,103.1433 +/- 0.1578
scenario_label=prefix72,SGCT,system_efficiency,0.841806,0.000691,0.845380,50,0.8418 +/- 0.0007
scenario_label=prefix72,SGCT(d10),system_efficiency,0.824281,0.000224,0.825362,50,0.8243 +/- 0.0002
scenario_label=prefix72,SGCT(d4),system_efficiency,0.586004,0.000473,0.588654,50,0.5860 +/- 0.0005
scenario_label=prefix72,SGCT(d6),system_efficiency,0.623325,0.000398,0.625352,50,0.6233 +/- 0.0004
scenario_label=prefix72,SGCT(d8),system_efficiency,0.840893,0.000881,0.845952,50,0.8409 +/- 0.0009
scenario_label=prefix72,SGCT(no_local_short_id),system_efficiency,0.840893,0.000881,0.845952,50,0.8409 +/- 0.0009
scenario_label=prefix72,SGCT(no_low_d_fallback),system_efficiency,0.840893,0.000881,0.845952,50,0.8409 +/- 0.0009
scenario_label=prefix72,SGCT(no_signature_grouping),system_efficiency,0.134347,0.000172,0.135215,50,0.1343 +/- 0.0002
scenario_label=prefix72,SGCT(no_suffix_extension),system_efficiency,0.840893,0.000881,0.845952,50,0.8409 +/- 0.0009
scenario_label=prefix72,SGCT,throughput_tags_per_sec,1246.623104,2.402901,1261.118692,50,1246.6231 +/- 2.4029
scenario_label=prefix72,SGCT(d10),throughput_tags_per_sec,659.932474,0.203611,661.136917,50,659.9325 +/- 0.2036
scenario_label=prefix72,SGCT(d4),throughput_tags_per_sec,600.451193,0.862065,605.294356,50,600.4512 +/- 0.8621
scenario_label=prefix72,SGCT(d6),throughput_tags_per_sec,616.669392,0.729681,619.988392,50,616.6694 +/- 0.7297
scenario_label=prefix72,SGCT(d8),throughput_tags_per_sec,1243.482417,3.138455,1260.672594,50,1243.4824 +/- 3.1385
scenario_label=prefix72,SGCT(no_local_short_id),throughput_tags_per_sec,1234.273281,3.138033,1251.499690,50,1234.2733 +/- 3.1380
scenario_label=prefix72,SGCT(no_low_d_fallback),throughput_tags_per_sec,1195.694227,3.117842,1213.962514,50,1195.6942 +/- 3.1178
scenario_label=prefix72,SGCT(no_signature_grouping),throughput_tags_per_sec,663.219976,1.298453,669.823345,50,663.2200 +/- 1.2985
scenario_label=prefix72,SGCT(no_suffix_extension),throughput_tags_per_sec,1243.482417,3.138455,1260.672594,50,1243.4824 +/- 3.1385
scenario_label=prefix72,SGCT,total_bits,1029830.080000,1198.451830,1036086.700000,50,1029830.0800 +/- 1198.4518
scenario_label=prefix72,SGCT(d10),total_bits,1080743.800000,263.526688,1082452.300000,50,1080743.8000 +/- 263.5267
scenario_label=prefix72,SGCT(d4),total_bits,2065801.140000,1853.177522,2075347.800000,50,2065801.1400 +/- 1853.1775
