scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
"scenario_label=clustered,ber=0.001",DQTA(k_max=3),throughput_tags_per_sec,609.112862,0.820297,613.155082,50,609.1129 +/- 0.8203
"scenario_label=clustered,ber=0.001",DRCT,throughput_tags_per_sec,431.815461,0.712382,436.027422,50,431.8155 +/- 0.7124
"scenario_label=clustered,ber=0.001",EMDT,throughput_tags_per_sec,698.161147,1.546517,708.957713,50,698.1611 +/- 1.5465
"scenario_label=clustered,ber=0.001",LAPCT,throughput_tags_per_sec,337.165137,0.033148,337.336121,50,337.1651 +/- 0.0331
"scenario_label=clustered,ber=0.001",NLHQT(n=2),throughput_tags_per_sec,393.698358,0.730708,399.065827,50,393.6984 +/- 0.7307
"scenario_label=clustered,ber=0.001",SGCT,throughput_tags_per_sec,965.768339,2.067358,977.061850,50,965.7683 +/- 2.0674
"scenario_label=clustered,ber=0.001",DQTA(k_max=3),total_bits,6185148.240000,143805.824097,6967857.550000,50,6185148.2400 +/- 143805.8241
"scenario_label=clustered,ber=0.001",DRCT,total_bits,4775770.780000,2923.227436,4792787.200000,50,4775770.7800 +/- 2923.2274
"scenario_label=clustered,ber=0.001",EMDT,total_bits,1798552.040000,1429.910687,1808233.200000,50,1798552.0400 +/- 1429.9107
"scenario_label=clustered,ber=0.001",LAPCT,total_bits,6454392.360000,65125.240460,6812611.600000,50,6454392.3600 +/- 65125.2405
"scenario_label=clustered,ber=0.001",NLHQT(n=2),total_bits,4416659.280000,7554.628382,4443660.400000,50,4416659.2800 +/- 7554.6284
"scenario_label=clustered,ber=0.001",SGCT,total_bits,1568678.180000,7236.737550,1624177.100000,50,1568678.1800 +/- 7236.7375
"scenario_label=clustered,ber=0.001",DQTA(k_max=3),total_energy_uj,8215763.111293,12477.722596,8282606.215850,50,8215763.1113 +/- 12477.7226
"scenario_label=clustered,ber=0.001",DRCT,total_energy_uj,11612465.267002,23635.003773,11747370.927650,50,11612465.2670 +/- 23635.0038
"scenario_label=clustered,ber=0.001",EMDT,total_energy_uj,7171184.039240,19883.186376,7291695.864613,50,7171184.0392 +/- 19883.1864
"scenario_label=clustered,ber=0.001",LAPCT,total_energy_uj,14845380.941058,2023.579208,14856546.119188,50,14845380.9411 +/- 2023.5792
"scenario_label=clustered,ber=0.001",NLHQT(n=2),total_energy_uj,12734369.965620,25124.788888,12843574.310925,50,12734369.9656 +/- 25124.7889
"scenario_label=clustered,ber=0.001",SGCT,total_energy_uj,5169712.468458,13137.895405,5244768.373775,50,5169712.4685 +/- 13137.8954
"scenario_label=clustered,ber=0.001",DQTA(k_max=3),total_protocol_time_ms,16417.698750,22.123196,16549.808125,50,16417.6987 +/- 22.1232
"scenario_label=clustered,ber=0.001",DRCT,total_protocol_time_ms,23158.844250,38.189590,23393.471063,50,23158.8442 +/- 38.1896
"scenario_label=clustered,ber=0.001",EMDT,total_protocol_time_ms,14324.232250,31.555297,14478.764375,50,14324.2322 +/- 31.5553
"scenario_label=clustered,ber=0.001",LAPCT,total_protocol_time_ms,29659.060625,2.915846,29677.038750,50,29659.0606 +/- 2.9158
"scenario_label=clustered,ber=0.001",NLHQT(n=2),total_protocol_time_ms,25401.264900,46.810852,25599.831875,50,25401.2649 +/- 46.8109
"scenario_label=clustered,ber=0.001",SGCT,total_protocol_time_ms,10355.057050,22.233593,10481.807563,50,10355.0570 +/- 22.2336
"scenario_label=clustered,ber=1e-05",DQTA(k_max=3),avg_total_bits,614.396680,11.648416,695.475425,50,614.3967 +/- 11.6484
"scenario_label=clustered,ber=1e-05",DRCT,avg_total_bits,477.705886,0.397352,479.842720,50,477.7059 +/- 0.3974
"scenario_label=clustered,ber=1e-05",EMDT,avg_total_bits,172.216056,0.169555,172.980100,50,172.2161 +/- 0.1696
"scenario_label=clustered,ber=1e-05",LAPCT,avg_total_bits,640.113642,7.032626,689.760880,50,640.1136 +/- 7.0326
"scenario_label=clustered,ber=1e-05",NLHQT(n=2),avg_total_bits,440.378252,0.637577,442.640660,50,440.3783 +/- 0.6376
"scenario_label=clustered,ber=1e-05",SGCT,avg_total_bits,154.628050,0.465720,159.449500,50,154.6281 +/- 0.4657
"scenario_label=clustered,ber=1e-05",DQTA(k_max=3),system_efficiency,0.330319,0.000366,0.332325,50,0.3303 +/- 0.0004
"scenario_label=clustered,ber=1e-05",DRCT,system_efficiency,0.335398,0.000768,0.340154,50,0.3354 +/- 0.0008
"scenario_label=clustered,ber=1e-05",EMDT,system_efficiency,0.500991,0.001840,0.513762,50,0.5010 +/- 0.0018
"scenario_label=clustered,ber=1e-05",LAPCT,system_efficiency,0.497940,0.000063,0.498256,50,0.4979 +/- 0.0001
"scenario_label=clustered,ber=1e-05",NLHQT(n=2),system_efficiency,0.348841,0.000234,0.350226,50,0.3488 +/- 0.0002
"scenario_label=clustered,ber=1e-05",SGCT,system_efficiency,0.781715,0.000931,0.786306,50,0.7817 +/- 0.0009
"scenario_label=clustered,ber=1e-05",DQTA(k_max=3),throughput_tags_per_sec,620.494732,0.922543,627.282231,50,620.4947 +/- 0.9225
"scenario_label=clustered,ber=1e-05",DRCT,throughput_tags_per_sec,431.619985,0.961525,437.500561,50,431.6200 +/- 0.9615
"scenario_label=clustered,ber=1e-05",EMDT,throughput_tags_per_sec,729.771944,1.668962,741.081181,50,729.7719 +/- 1.6690
"scenario_label=clustered,ber=1e-05",LAPCT,throughput_tags_per_sec,337.198052,0.035819,337.340011,50,337.1981 +/- 0.0358
"scenario_label=clustered,ber=1e-05",NLHQT(n=2),throughput_tags_per_sec,397.217800,0.631564,401.368222,50,397.2178 +/- 0.6316
"scenario_label=clustered,ber=1e-05",SGCT,throughput_tags_per_sec,983.051902,2.451509,995.391333,50,983.0519 +/- 2.4515
"scenario_label=clustered,ber=1e-05",DQTA(k_max=3),total_bits,6143966.800000,116484.163227,6954754.250000,50,6143966.8000 +/- 116484.1632
"scenario_label=clustered,ber=1e-05",DRCT,total_bits,4777058.860000,3973.518675,4798427.200000,50,4777058.8600 +/- 3973.5187
"scenario_label=clustered,ber=1e-05",EMDT,total_bits,1722160.560000,1695.547123,1729801.000000,50,1722160.5600 +/- 1695.5471
"scenario_label=clustered,ber=1e-05",LAPCT,total_bits,6401136.420000,70326.259562,6897608.800000,50,6401136.4200 +/- 70326.2596
"scenario_label=clustered,ber=1e-05",NLHQT(n=2),total_bits,4403782.520000,6375.766564,4426406.600000,50,4403782.5200 +/- 6375.7666
"scenario_label=clustered,ber=1e-05",SGCT,total_bits,1546280.500000,4657.203197,1594495.000000,50,1546280.5000 +/- 4657.2032
"scenario_label=clustered,ber=1e-05",DQTA(k_max=3),total_energy_uj,8068751.626325,12689.044219,8133483.605156,50,8068751.6263 +/- 12689.0442
"scenario_label=clustered,ber=1e-05",DRCT,total_energy_uj,11628443.424995,28092.338904,11800376.837144,50,11628443.4250 +/- 28092.3389
"scenario_label=clustered,ber=1e-05",EMDT,total_energy_uj,6850886.052435,18303.764717,6958534.204563,50,6850886.0524 +/- 18303.7647
"scenario_label=clustered,ber=1e-05",LAPCT,total_energy_uj,14842494.315877,2008.649310,14856530.887269,50,14842494.3159 +/- 2008.6493
"scenario_label=clustered,ber=1e-05",NLHQT(n=2),total_energy_uj,12618791.571873,20194.540486,12722528.068800,50,12618791.5719 +/- 20194.5405
"scenario_label=clustered,ber=1e-05",SGCT,total_energy_uj,5084470.667290,14979.099781,5168998.481337,50,5084470.6673 +/- 14979.0998
"scenario_label=clustered,ber=1e-05",DQTA(k_max=3),total_protocol_time_ms,16116.625650,23.907830,16239.905750,50,16116.6256 +/- 23.9078
"scenario_label=clustered,ber=1e-05",DRCT,total_protocol_time_ms,23169.992700,51.524667,23451.631688,50,23169.9927 +/- 51.5247
"scenario_label=clustered,ber=1e-05",EMDT,total_protocol_time_ms,13703.821400,31.211801,13837.047625,50,13703.8214 +/- 31.2118
"scenario_label=clustered,ber=1e-05",LAPCT,total_protocol_time_ms,29656.166125,3.151267,29677.621250,50,29656.1661 +/- 3.1513
"scenario_label=clustered,ber=1e-05",NLHQT(n=2),total_protocol_time_ms,25175.913975,39.868877,25356.924875,50,25175.9140 +/- 39.8689
"scenario_label=clustered,ber=1e-05",SGCT,total_protocol_time_ms,10173.211975,25.438242,10331.413438,50,10173.2120 +/- 25.4382
"scenario_label=dispersed,ber=0.0",DQTA(k_max=3),avg_total_bits,701.804146,31.091352,899.152315,50,701.8041 +/- 31.0914
"scenario_label=dispersed,ber=0.0",DRCT,avg_total_bits,792.430628,32.388095,1002.319770,50,792.4306 +/- 32.3881
"scenario_label=dispersed,ber=0.0",EMDT,avg_total_bits,172.161800,0.201893,173.187870,50,172.1618 +/- 0.2019
"scenario_label=dispersed,ber=0.0",LAPCT,avg_total_bits,490.071694,9.897809,544.289675,50,490.0717 +/- 9.8978
"scenario_label=dispersed,ber=0.0",NLHQT(n=2),avg_total_bits,138.123326,0.755511,140.103020,50,138.1233 +/- 0.7555
"scenario_label=dispersed,ber=0.0",SGCT,avg_total_bits,117.038320,2.773215,132.860700,50,117.0383 +/- 2.7732
"scenario_label=dispersed,ber=0.0",DQTA(k_max=3),system_efficiency,0.367808,0.007970,0.412324,50,0.3678 +/- 0.0080
"scenario_label=dispersed,ber=0.0",DRCT,system_efficiency,0.143673,0.011392,0.215237,50,0.1437 +/- 0.0114
"scenario_label=dispersed,ber=0.0",EMDT,system_efficiency,0.503044,0.001794,0.511845,50,0.5030 +/- 0.0018
