TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,sgct_d_target,signature_slot_cap,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count,sparse_signature_groups,signature_groups_pruned,signature_marker_tag_bits,signature_collision_groups,signature_singleton_groups,max_signature_d
10000,96,dispersed,dispersed,"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=256",0.000000,True,True,4,256,formal_sgct_signature_sensitivity,1769882256,2162956913,13275957.500000,867420.000000,889130.000000,22975,6657468.165000,2179.405000,6659647.570000,10000,10000,0,6487,3244,1379,0,13541,8523,34421,34421,8523,3243,5280,1865,0,0,0,0,0,4,10000,0,7.828200,0,753.241339,SGCT,0,44,,,,16487,0.606538,88.913000,86.742000,1756550.000000,175.655000,1.541545,13275.957500,1379,8523,13541,34421,3243,5280,4
10000,96,dispersed,dispersed,"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=512",0.000000,True,True,4,512,formal_sgct_signature_sensitivity,411575871,209874027,13400440.000000,856866.000000,953778.000000,22991,6724055.226500,2190.621000,6726245.847500,10000,10000,0,6495,3248,1387,0,13679,8513,34425,34425,8513,3247,5266,1861,0,0,0,0,0,4,10000,0,7.831800,0,746.244153,SGCT,0,43,,,,16495,0.606244,95.377800,85.686600,1810644.000000,181.064400,1.539646,13400.440000,1387,8513,13679,34425,3247,5266,4
10000,96,dispersed,dispersed,"scenario_label=dispersed,sgct_d_target=4,signature_slot_cap=1024",0.000000,True,True,4,1024,formal_sgct_signature_sensitivity,1252742511,849289770,13349138.750000,856660.000000,941560.000000,22843,6689344.287125,2184.100000,6691528.387125,10000,10000,0,6421,3211,1420,0,14076,8644,34570,34570,8644,3210,5434,1791,0,0,0,0,0,4,10000,0,7.827200,0,749.111998,SGCT,0,45,,,,16421,0.608976,94.156000,85.666000,1798220.000000,179.822000,1.557390,13349.138750,1420,8644,14076,34570,3210,5434,4
10000,96,dispersed,dispersed,"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=256",0.000000,True,True,6,256,formal_sgct_signature_sensitivity,4066922462,3020403143,12815353.750000,803481.000000,903187.000000,22088,6420113.752375,2058.555500,6422172.307875,10000,10000,0,6044,3023,1229,0,14327,8457,24615,24615,8457,3021,5436,1793,0,0,0,0,0,6,10000,0,6.835800,0,780.314004,SGCT,0,116,,,,16044,0.623286,90.318700,80.348100,1706668.000000,170.666800,1.654533,12815.353750,1229,8457,14327,24615,3021,5436,6
10000,96,dispersed,dispersed,"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=512",0.000000,True,True,6,512,formal_sgct_signature_sensitivity,4615038,4128264734,12643755.000000,822587.000000,804772.000000,22188,6338465.542000,2047.560000,6340513.102000,10000,10000,0,6094,3048,1165,0,13478,8282,24381,24381,8282,3046,5236,1882,0,0,0,0,0,6,10000,0,6.829000,0,790.904284,SGCT,0,116,,,,16094,0.621350,80.477200,82.258700,1627359.000000,162.735900,1.640958,12643.755000,1165,8282,13478,24381,3046,5236,6
10000,96,dispersed,dispersed,"scenario_label=dispersed,sgct_d_target=6,signature_slot_cap=1024",0.000000,True,True,6,1024,formal_sgct_signature_sensitivity,3981442002,696758853,12816446.250000,785767.000000,796746.000000,22007,6405968.971375,1969.907000,6407938.878375,10000,10000,0,6003,3002,1194,0,13843,8381,24529,24529,8381,3001,5380,1808,0,0,0,0,0,6,10000,0,5.829800,0,780.247489,SGCT,0,113,,,,16003,0.624883,79.674600,78.576700,1582513.000000,158.251300,1.665834,12816.446250,1194,8381,13843,24529,3001,5380,6
10000,96,dispersed,dispersed,"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=256",0.000000,True,True,8,256,formal_sgct_signature_sensitivity,4273272223,1002673855,7114552.500000,308610.000000,1020000.000000,11284,3590489.356250,1127.220000,3591616.576250,10000,10000,0,770,514,257,257,55536,10256,20000,20000,10256,256,10000,0,0,0,0,0,0,8,10000,0,6.000000,0,1405.569781,SGCT,0,256,,,,10770,0.928505,102.000000,30.861000,1328610.000000,132.861000,12.987013,7114.552500,257,10256,55536,20000,256,10000,8
10000,96,dispersed,dispersed,"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=512",0.000000,True,True,8,512,formal_sgct_signature_sensitivity,3191201263,1664609612,5896552.500000,289765.000000,880000.000000,11029,2979420.973375,1019.530000,2980440.503375,10000,10000,0,515,259,257,257,55536,10256,20000,20000,10256,256,10000,0,0,0,0,0,0,8,10000,0,6.000000,0,1695.906210,SGCT,0,256,,,,10515,0.951022,88.000000,28.976500,1169765.000000,116.976500,19.417476,5896.552500,257,10256,55536,20000,256,10000,8
10000,96,dispersed,dispersed,"scenario_label=dispersed,sgct_d_target=8,signature_slot_cap=1024",0.000000,True,True,8,1024,formal_sgct_signature_sensitivity,1385370677,2704285645,6678515.000000,314751.000000,860000.000000,11284,3375321.720500,1059.502000,3376381.222500,10000,10000,0,770,514,257,257,55536,10256,20000,20000,10256,256,10000,0,0,0,0,0,0,8,10000,0,6.000000,0,1497.338855,SGCT,0,256,,,,10770,0.928505,86.000000,31.475100,1174751.000000,117.475100,12.987013,6678.515000,257,10256,55536,20000,256,10000,8
10000,96,dispersed,dispersed,"scenario_label=dispersed,sgct_d_target=10,signature_slot_cap=256",0.000000,True,True,10,256,formal_sgct_signature_sensitivity,1085821240,3120972669,6678515.000000,314751.000000,860000.000000,11284,3370308.299750,1059.502000,3371367.801750,10000,10000,0,770,514,257,257,55536,10256,20000,20000,10256,256,10000,0,0,0,0,0,0,8,10000,0,6.000000,0,1497.338855,SGCT,0,256,,,,10770,0.928505,86.000000,31.475100,1174751.000000,117.475100,12.987013,6678.515000,257,10256,55536,20000,256,10000,8
