scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),throughput_tags_per_sec,620.820133,3.025918,625.943796,0.838742,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),system_efficiency,0.330037,0.001976,0.333251,0.000548,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),collision_slots,9280.600000,52.701702,9358.100000,14.608166,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),idle_slots,11020.140000,165.666620,11268.250000,45.920444,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),total_energy_uj,8070103.971238,49079.832322,8145944.079106,13604.235444,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),energy_per_tag_uj,807.010397,4.907983,814.594408,1.360424,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),total_reader_tx_energy_uj,1806.677120,10.598586,1821.841100,2.937778,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),total_tag_tx_energy_uj,2616.651550,200.276596,2871.626500,55.513840,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),total_listening_energy_uj,8065680.642568,49070.841504,8141608.012556,13601.743316,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),total_transmission_energy_uj,4423.328670,198.662896,4686.338200,55.066545,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),total_bits,6136641.660000,399643.395618,6649757.000000,110775.497598,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),avg_tag_bits,523.330310,40.055319,574.325300,11.102768,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),avg_reader_bits,90.333856,0.529929,91.092055,0.146889,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),avg_total_bits,613.664166,39.964340,664.975700,11.077550,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),avg_query_efficiency,1.077551,0.006126,1.087441,0.001698,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),peak_stack_depth,25.380000,1.158641,27.550000,0.321159,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),avg_tag_responses,5.828016,0.218380,6.114960,0.060532,50
"scenario_label=clustered,energy_profile=baseline",EMDT,total_protocol_time_ms,13691.879800,119.530709,13870.043250,33.132222,50
"scenario_label=clustered,energy_profile=baseline",EMDT,throughput_tags_per_sec,730.414306,6.359214,739.726887,1.762684,50
"scenario_label=clustered,energy_profile=baseline",EMDT,system_efficiency,0.501599,0.006098,0.510309,0.001690,50
"scenario_label=clustered,energy_profile=baseline",EMDT,collision_slots,5957.540000,124.471980,6137.950000,34.501873,50
"scenario_label=clustered,energy_profile=baseline",EMDT,idle_slots,3981.620000,134.236296,4192.450000,37.208403,50
"scenario_label=clustered,energy_profile=baseline",EMDT,total_energy_uj,6851108.202885,64262.842514,6958696.553100,17812.751154,50
"scenario_label=clustered,energy_profile=baseline",EMDT,energy_per_tag_uj,685.110820,6.426284,695.869655,1.781275,50
"scenario_label=clustered,energy_profile=baseline",EMDT,total_reader_tx_energy_uj,488.474800,5.490112,498.220800,1.521781,50
"scenario_label=clustered,energy_profile=baseline",EMDT,total_tag_tx_energy_uj,738.544320,1.767921,741.445600,0.490043,50
"scenario_label=clustered,energy_profile=baseline",EMDT,total_listening_energy_uj,6849881.183765,64260.914771,6957469.942300,17812.216811,50
"scenario_label=clustered,energy_profile=baseline",EMDT,total_transmission_energy_uj,1227.019120,6.738858,1237.894600,1.867916,50
"scenario_label=clustered,energy_profile=baseline",EMDT,total_bits,1721326.040000,5672.992595,1730680.900000,1572.473321,50
"scenario_label=clustered,energy_profile=baseline",EMDT,avg_tag_bits,147.708864,0.353584,148.289120,0.098009,50
"scenario_label=clustered,energy_profile=baseline",EMDT,avg_reader_bits,24.423740,0.274506,24.911040,0.076089,50
"scenario_label=clustered,energy_profile=baseline",EMDT,avg_total_bits,172.132604,0.567299,173.068090,0.157247,50
