TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,energy_profile,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_reader_tx_energy_uj,total_tag_tx_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,energy_per_tag_uj,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,373921302,2207431979,18376602.500000,653614.000000,2090952.000000,17167,9157666.213000,1307.228000,2090.952000,3398.180000,9161064.393000,10000,916.106439,10000,0,18117,,,,,,,,,,,,,,,,,,,,9.547600,,544.170230,NLHQT(n=2),37,22,,,,28117,0.355657,209.095200,65.361400,2744566.000000,274.456600,0.551968,18376.602500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,373921302,2758755580,13806335.000000,244222.000000,1474016.000000,20256,6940214.889250,488.444000,1474.016000,1962.460000,6942177.349250,10000,694.217735,10000,4193,6063,,,,,,,,,,,,,,,,,,,,5.333300,,724.305183,EMDT,37,46,,,,20256,0.493681,147.401600,24.422200,1718238.000000,171.823800,1.649349,13806.335000
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,1279646049,3032893928,11257537.500000,332137.000000,1322945.000000,13813,5646828.740875,664.274000,1322.945000,1987.219000,5648815.959875,10000,564.881596,10000,0,1907,955.000000,953.000000,257.000000,65976.000000,10952.000000,21421.000000,21421.000000,10952.000000,952.000000,10000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,10000.000000,0.000000,4.284600,0.000000,888.293732,SGCT,38,257,,,,11907,0.839842,132.294500,33.213700,1655082.000000,165.508200,5.243838,11257.537500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,373921302,2293201313,16379716.250000,337548.000000,9107107.000000,34874,8208565.538500,675.096000,9107.107000,9782.203000,8218347.741500,10000,821.834774,10000,10949,9283,,,,,,,,,,,,,,,,,,,,5.166400,,610.511186,DQTA(k_max=3),37,28,,,,30232,0.330775,910.710700,33.754800,9444655.000000,944.465500,1.077238,16379.716250
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,1279646049,3947877949,18420860.000000,655234.000000,2091102.000000,17208,9250141.604500,1310.468000,2091.102000,3401.570000,9253543.174500,10000,925.354317,10000,0,18160,,,,,,,,,,,,,,,,,,,,9.555100,,542.862820,NLHQT(n=2),38,22,,,,28160,0.355114,209.110200,65.523400,2746336.000000,274.633600,0.550661,18420.860000
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,1279646049,3120201756,13832585.000000,245740.000000,1475200.000000,20142,7015663.311250,491.480000,1475.200000,1966.680000,7017629.991250,10000,701.762999,10000,4034,6108,,,,,,,,,,,,,,,,,,,,5.355300,,722.930674,EMDT,38,46,,,,20142,0.496475,147.520000,24.574000,1720940.000000,172.094000,1.637197,13832.585000
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,3693046500,2985721692,11285003.750000,333949.000000,1323404.000000,13870,5652471.903500,667.898000,1323.404000,1991.302000,5654463.205500,10000,565.446321,10000,0,1936,970.000000,967.000000,257.000000,66186.000000,10966.000000,21453.000000,21453.000000,10966.000000,966.000000,10000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,10000.000000,0.000000,4.291200,0.000000,886.131739,SGCT,39,258,,,,11936,0.837802,132.340400,33.394900,1657353.000000,165.735300,5.165289,11285.003750
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,1279646049,2822325254,16467232.500000,340736.000000,9119129.000000,34908,8229961.376250,681.472000,9119.129000,9800.601000,8239761.977250,10000,823.976198,10000,10851,9371,,,,,,,,,,,,,,,,,,,,5.173500,,607.266582,DQTA(k_max=3),38,29,,,,30222,0.330885,911.912900,34.073600,9459865.000000,945.986500,1.067122,16467.232500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,3693046500,1892109131,18482470.000000,658032.000000,2091466.000000,17261,9279866.064000,1316.064000,2091.466000,3407.530000,9283273.594000,10000,928.327359,10000,0,18282,,,,,,,,,,,,,,,,,,,,9.573300,,541.053225,NLHQT(n=2),39,21,,,,28282,0.353582,209.146600,65.803200,2749498.000000,274.949800,0.546986,18482.470000
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,3693046500,1281486079,13737182.500000,244508.000000,1476768.000000,20029,6880859.897250,489.016000,1476.768000,1965.784000,6882825.681250,10000,688.282568,10000,4033,5996,,,,,,,,,,,,,,,,,,,,5.324000,,727.951310,EMDT,39,46,,,,20029,0.499276,147.676800,24.450800,1721276.000000,172.127600,1.667779,13737.182500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,1232762599,3271746749,11208817.500000,329182.000000,1322109.000000,13705,5626299.627125,658.364000,1322.109000,1980.473000,5628280.100125,10000,562.828010,10000,0,1853,928.000000,926.000000,257.000000,65571.000000,10925.000000,21377.000000,21377.000000,10925.000000,925.000000,10000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,10000.000000,0.000000,4.275800,0.000000,892.154770,SGCT,40,259,,,,11853,0.843668,132.210900,32.918200,1651291.000000,165.129100,5.396654,11208.817500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,3693046500,1684800533,16393438.750000,338555.000000,9113484.000000,34795,8160316.642750,677.110000,9113.484000,9790.594000,8170107.236750,10000,817.010724,10000,10843,9301,,,,,,,,,,,,,,,,,,,,5.170600,,610.000144,DQTA(k_max=3),39,28,,,,30144,0.331741,911.348400,33.855500,9452039.000000,945.203900,1.075153,16393.438750
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,1232762599,3127038977,18422165.000000,655576.000000,2091160.000000,17207,9209945.901500,1311.152000,2091.160000,3402.312000,9213348.213500,10000,921.334821,10000,0,18201,,,,,,,,,,,,,,,,,,,,9.558000,,542.824364,NLHQT(n=2),40,20,,,,28201,0.354597,209.116000,65.557600,2746736.000000,274.673600,0.549420,18422.165000
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,1232762599,3583336104,13826867.500000,242440.000000,1471936.000000,20291,6867434.418750,484.880000,1471.936000,1956.816000,6869391.234750,10000,686.939123,10000,4202,6089,,,,,,,,,,,,,,,,,,,,5.336500,,723.229611,EMDT,40,45,,,,20291,0.492829,147.193600,24.244000,1714376.000000,171.437600,1.642306,13826.867500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,3365123309,3511466806,11272791.250000,333142.000000,1323224.000000,13843,5649875.965250,666.284000,1323.224000,1989.508000,5651865.473250,10000,565.186547,10000,0,1923,964.000000,960.000000,257.000000,66081.000000,10959.000000,21437.000000,21437.000000,10959.000000,959.000000,10000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,10000.000000,0.000000,4.288200,0.000000,887.091740,SGCT,41,259,,,,11923,0.838715,132.322400,33.314200,1656366.000000,165.636600,5.200208,11272.791250
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,1232762599,3245643137,16314717.500000,335344.000000,9095538.000000,34824,8189559.515875,670.688000,9095.538000,9766.226000,8199325.741875,10000,819.932574,10000,10995,9219,,,,,,,,,,,,,,,,,,,,5.159600,,612.943497,DQTA(k_max=3),40,27,,,,30214,0.330972,909.553800,33.534400,9430882.000000,943.088200,1.084716,16314.717500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,3365123309,1360383763,18494842.500000,658280.000000,2091432.000000,17274,9250258.337500,1316.560000,2091.432000,3407.992000,9253666.329500,10000,925.366633,10000,0,18288,,,,,,,,,,,,,,,,,,,,9.571600,,540.691277,NLHQT(n=2),41,21,,,,28288,0.353507,209.143200,65.828000,2749712.000000,274.971200,0.546807,18494.842500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,3365123309,3301068220,13580072.500000,247522.000000,1483360.000000,19683,6809970.959500,495.044000,1483.360000,1978.404000,6811949.363500,10000,681.194936,10000,3855,5828,,,,,,,,,,,,,,,,,,,,5.302600,,736.373094,EMDT,41,45,,,,19683,0.508053,148.336000,24.752200,1730882.000000,173.088200,1.715854,13580.072500
