TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,ovg_trigger_count,hbmt_ovg_trigger_count,fallback_invocation_count,prefix_stagnation_trigger_count,prefix_stag_score_trigger_count,repeated_pattern_trigger_count,ovg_rehash_count,ovg_width_up_count,ovg_width_down_count,ovg_no_singleton_count,ovg_success_count,post_ovg_singleton_count,ovg_fallback_avoid_count,inspect_collision_count,fcw_cache_created_count,fcw_cache_hit_count,fcw_cache_hit_ratio,fcw_fast_path_count,fcw_width_up_count,fcw_width_down_count,adaptive_cbit_r4_count,multibit_fallback_count,mode_lock1_count,mode_lock2_count,mode_cbit_count,mode_pivot_count,mode_ovg_count,mode_fallback_count,fallback_invocation_ratio,prefix_length,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,1635335489,156029189,16205895.0,909367.0,4950193.0,35214,8106469.454375,4293.8305,8110763.284875,10000,10000,11202,9341,,,,,,,,,,,,,,,,,,,,5.6706,,617.05941,DQTA(k_max=3),21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30543,0.327407,495.0193,90.9367,5859560.0,585.956,1.070549,16205.895,,,,,,,,1818.734,2475.0965,811.076328,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,3272760658,1562441980,16131550.0,904752.0,5403737.0,35006,8085417.169125,4511.3725,8089928.541625,10000,10000,11063,9295,,,,,,,,,,,,,,,,,,,,5.9111,,619.903233,DQTA(k_max=3),22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30358,0.329402,540.3737,90.4752,6308489.0,630.8489,1.075847,16131.55,,,,,,,,1809.504,2701.8685,808.992854,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,1373887384,2480584201,16088696.25,901896.0,5154494.0,34932,8017008.61575,4381.039,8021389.65475,10000,10000,11031,9267,,,,,,,,,,,,,,,,,,,,5.7896,,621.554403,DQTA(k_max=3),23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30298,0.330055,515.4494,90.1896,6056390.0,605.639,1.079098,16088.69625,,,,,,,,1803.792,2577.247,802.138965,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,2303729002,1370922908,16119143.75,903767.0,4933075.0,35036,8086231.942,4274.0715,8090506.0135,10000,10000,11108,9285,,,,,,,,,,,,,,,,,,,,5.665,,620.380347,DQTA(k_max=3),24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30393,0.329023,493.3075,90.3767,5836842.0,583.6842,1.077006,16119.14375,,,,,,,,1807.534,2466.5375,809.050601,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,1383983877,2258181722,16150013.75,906410.0,4935113.0,34956,8114598.006875,4280.3765,8118878.383375,10000,10000,10989,9311,,,,,,,,,,,,,,,,,,,,5.6699,,619.194519,DQTA(k_max=3),25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30300,0.330033,493.5113,90.641,5841523.0,584.1523,1.073998,16150.01375,,,,,,,,1812.82,2467.5565,811.887838,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,3516817730,2666218946,16041142.5,898153.0,5609939.0,35005,8015506.8595,4601.2755,8020108.135,10000,10000,11161,9229,,,,,,,,,,,,,,,,,,,,6.0353,,623.396993,DQTA(k_max=3),26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30390,0.329056,560.9939,89.8153,6508092.0,650.8092,1.083541,16041.1425,,,,,,,,1796.306,2804.9695,802.010813,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,1336993269,3160286335,16152126.25,906234.0,4913208.0,34990,8075003.40675,4269.072,8079272.47875,10000,10000,11023,9311,,,,,,,,,,,,,,,,,,,,5.6644,,619.113536,DQTA(k_max=3),27,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30334,0.329663,491.3208,90.6234,5819442.0,581.9442,1.073998,16152.12625,,,,,,,,1812.468,2456.604,807.927248,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,4124758111,2301610995,16145313.75,905031.0,5374889.0,35124,8097469.55725,4497.5065,8101967.06375,10000,10000,11172,9301,,,,,,,,,,,,,,,,,,,,5.918,,619.374771,DQTA(k_max=3),28,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30473,0.328159,537.4889,90.5031,6279920.0,627.992,1.075153,16145.31375,,,,,,,,1810.062,2687.4445,810.196706,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,2462283307,1322398985,16123916.25,904797.0,4935775.0,34909,8075007.41275,4277.4815,8079284.89425,10000,10000,10969,9293,,,,,,,,,,,,,,,,,,,,5.666,,620.196722,DQTA(k_max=3),29,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30262,0.330447,493.5775,90.4797,5840572.0,584.0572,1.076079,16123.91625,,,,,,,,1809.594,2467.8875,807.928489,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,2727423155,2719302759,16155792.5,907298.0,5380594.0,34845,8067114.85275,4504.893,8071619.74575,10000,10000,10866,9319,,,,,,,,,,,,,,,,,,,,5.9153,,618.97304,DQTA(k_max=3),30,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30185,0.33129,538.0594,90.7298,6287892.0,628.7892,1.073077,16155.7925,,,,,,,,1814.596,2690.297,807.161975,,,
