TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,enable_refined_energy_model,enable_resource_monitoring,ber,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,clustered,clustered,"scenario_label=clustered,ber=1e-05",True,True,0.000010,formal_sgct_ber_robustness,3697141144,3287053976,16213017.500000,910754.000000,5407365.000000,35029,8129697.087125,4525.190500,8134222.277625,10000,10000,10999,9354,,,,,,,,,,,,,,,,,,,,5.920600,,616.788331,DQTA(k_max=3),38,27.000000,,,,,,,,8.000000,64.000000,30353,0.329457,540.736500,91.075400,6318119.000000,631.811900,1.069061,16213.017500,,,,,,
10000,96,clustered,clustered,"scenario_label=clustered,ber=0.0001",True,True,0.000100,formal_sgct_ber_robustness,4076928718,3535692310,16237270.000000,912665.000000,4024331.000000,35066,8093661.284000,3837.495500,8097498.779500,10000,10000,11029,9366,,,,,,,,,,,,,,,,,,,,5.171000,,615.867076,DQTA(k_max=3),38,27.000000,,,,,,,,8.000000,64.000000,30395,0.329001,402.433100,91.266500,4936996.000000,493.699600,1.067692,16237.270000,,,,,,
10000,96,clustered,clustered,"scenario_label=clustered,ber=0.001",True,True,0.001000,formal_sgct_ber_robustness,588467973,246946612,16441071.250000,928350.000000,5629338.000000,35160,8237079.479875,4671.369000,8241750.848875,10000,10000,11011,9497,,,,,,,,,,,,,,,,,,,,6.062400,,608.232873,DQTA(k_max=3),38,24.000000,,,,,,,,8.000000,64.000000,30508,0.327783,562.933800,92.835000,6557688.000000,655.768800,1.052964,16441.071250,,,,,,
10000,96,random,random,"scenario_label=random,ber=0.0",True,True,0.000000,formal_sgct_ber_robustness,1064126121,1411816926,16325415.000000,334977.000000,9086613.000000,35042,8219409.239500,5213.260500,8224622.500000,10000,10000,11216,9217,,,,,,,,,,,,,,,,,,,,5.153900,,612.541856,DQTA(k_max=3),39,27.000000,,,,,,,,,,30433,0.328591,908.661300,33.497700,9421590.000000,942.159000,1.084952,16325.415000,,,,,,
10000,96,random,random,"scenario_label=random,ber=1e-05",True,True,0.000010,formal_sgct_ber_robustness,3918670045,2893739945,16401095.000000,339653.000000,9106108.000000,34802,8204632.887375,5232.360000,8209865.247375,10000,10000,10856,9301,,,,,,,,,,,,,,,,,,,,5.167500,,609.715388,DQTA(k_max=3),39,26.000000,,,,,,,,,,30157,0.331598,910.610800,33.965300,9445761.000000,944.576100,1.075153,16401.095000,,,,,,
10000,96,random,random,"scenario_label=random,ber=0.0001",True,True,0.000100,formal_sgct_ber_robustness,751684787,1284725475,16456272.500000,344788.000000,9092627.000000,34856,8229427.272000,5235.889500,8234663.161500,10000,10000,10909,9323,,,,,,,,,,,,,,,,,,,,5.164700,,607.671026,DQTA(k_max=3),39,28.000000,,,,,,,,,,30232,0.330775,909.262700,34.478800,9437415.000000,943.741500,1.072616,16456.272500,,,,,,
10000,96,random,random,"scenario_label=random,ber=0.001",True,True,0.001000,formal_sgct_ber_robustness,3456554209,2414714966,17712191.250000,437042.000000,9109625.000000,35850,8845913.884500,5428.896500,8851342.781000,10000,10000,11051,10143,,,,,,,,,,,,,,,,,,,,5.251500,,564.582883,DQTA(k_max=3),39,28.000000,,,,,,,,,,31194,0.320574,910.962500,43.704200,9546667.000000,954.666700,0.985902,17712.191250,,,,,,
10000,96,prefix80,prefixed,"scenario_label=prefix80,ber=0.0",True,True,0.000000,formal_sgct_ber_robustness,3283778890,2783069908,14697990.000000,987012.000000,848166.000000,31468,7386406.186375,2398.107000,7388804.293375,10000,10000,8677,8527,,,,,,,,,,,,,,,,,,,,5.061700,,680.365138,DQTA(k_max=3),39,28.000000,,,,,,,80.000000,,,27204,0.367593,84.816600,98.701200,1835178.000000,183.517800,1.172745,14697.990000,,,,,,
10000,96,prefix80,prefixed,"scenario_label=prefix80,ber=1e-05",True,True,0.000010,formal_sgct_ber_robustness,1381697590,1346528068,14677763.750000,986499.000000,847792.000000,31257,7337802.890125,2396.894000,7340199.784125,10000,10000,8475,8521,,,,,,,,,,,,,,,,,,,,5.059500,,681.302695,DQTA(k_max=3),39,28.000000,,,,,,,80.000000,,,26996,0.370425,84.779200,98.649900,1834291.000000,183.429100,1.173571,14677.763750,,,,,,
10000,96,prefix80,prefixed,"scenario_label=prefix80,ber=0.0001",True,True,0.000100,formal_sgct_ber_robustness,2859282399,249561161,14711273.750000,988470.000000,848167.000000,31386,7320336.683250,2401.023500,7322737.706750,10000,10000,8577,8539,,,,,,,,,,,,,,,,,,,,5.061900,,679.750793,DQTA(k_max=3),39,28.000000,,,,,,,80.000000,,,27116,0.368786,84.816700,98.847000,1836637.000000,183.663700,1.171097,14711.273750,,,,,,
