TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_experiment10_algorithm_comparison,3666635172,3656354175,14743496.250000,991878.000000,848325.000000,31225,7422011.812875,2407.918500,7424419.731375,10000,10000,8374,8567,,,,,,,,,,,,,,,,,,,,5.067500,,678.265171,DQTA(k_max=3),2,27.000000,,,,,,,80.000000,,,26941,0.371181,84.832500,99.187800,1840203.000000,184.020300,1.167270,14743.496250,,,,,,
10000,96,dispersed,dispersed,scenario_label=dispersed,0.000000,True,True,formal_experiment10_algorithm_comparison,1938306392,3534836223,21285746.250000,1414205.000000,5686705.000000,31846,10673472.429625,5671.762500,10679144.192125,10000,10000,2200,13097,,,,,,,,,,,,,,,,,,,,9.510900,,469.797952,DQTA(k_max=3),2,17.000000,,,,,,,,,,25297,0.395304,568.670500,141.420500,7100910.000000,710.091000,0.763534,21285.746250,,,,,,
10000,96,sequential,sequential,scenario_label=sequential,0.000000,True,True,formal_experiment10_algorithm_comparison,2669753757,1451710688,9760685.000000,670128.000000,659744.000000,18588,4896178.559000,1670.128000,4897848.687000,10000,10000,3,5723,,,,,,,,,,,,,,,,,,,,4.998400,,1024.518259,DQTA(k_max=3),2,25.000000,,,,,,,,,,15726,0.635890,65.974400,67.012800,1329872.000000,132.987200,1.747335,9760.685000,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_experiment10_algorithm_comparison,4214585690,529078855,16125630.000000,904888.000000,5627974.000000,34834,8095170.090000,4623.763000,8099793.853000,10000,10000,10885,9299,,,,,,,,,,,,,,,,,,,,6.041400,,620.130810,DQTA(k_max=3),2,25.000000,,,,,,,,8.000000,64.000000,30184,0.331301,562.797400,90.488800,6532862.000000,653.286200,1.075384,16125.630000,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_experiment10_algorithm_comparison,305508543,3929592825,16420931.250000,339295.000000,9109198.000000,34867,8236371.807625,5233.189000,8241604.996625,10000,10000,10879,9325,,,,,,,,,,,,,,,,,,,,5.167900,,608.978860,DQTA(k_max=3),3,26.000000,,,,,,,,,,30204,0.331082,910.919800,33.929500,9448493.000000,944.849300,1.072386,16420.931250,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_experiment10_algorithm_comparison,601308687,1848224135,16151063.750000,782923.000000,4143673.000000,34677,8083782.725750,3637.682500,8087420.408250,10000,10000,10755,9281,,,,,,,,,,,,,,,,,,,,5.160500,,619.154265,DQTA(k_max=3),3,27.000000,,,,,,,48.000000,,,30036,0.332934,414.367300,78.292300,4926596.000000,492.659600,1.077470,16151.063750,,,,,,
10000,96,prefix64,prefixed,scenario_label=prefix64,0.000000,True,True,formal_experiment10_algorithm_comparison,609090443,639405574,16112860.000000,933071.000000,2495189.000000,34958,8055946.792875,3113.736500,8059060.529375,10000,10000,11018,9293,,,,,,,,,,,,,,,,,,,,5.171300,,620.622286,DQTA(k_max=3),3,27.000000,,,,,,,64.000000,,,30311,0.329913,249.518900,93.307100,3428260.000000,342.826000,1.076079,16112.860000,,,,,,
10000,96,prefix72,prefixed,scenario_label=prefix72,0.000000,True,True,formal_experiment10_algorithm_comparison,300944148,169801030,16067240.000000,1006392.000000,1667033.000000,34930,8036727.567875,2846.300500,8039573.868375,10000,10000,10999,9287,,,,,,,,,,,,,,,,,,,,5.163100,,622.384429,DQTA(k_max=3),3,27.000000,,,,,,,72.000000,,,30286,0.330186,166.703300,100.639200,2673425.000000,267.342500,1.076774,16067.240000,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_experiment10_algorithm_comparison,968741272,341248300,14780560.000000,993662.000000,848301.000000,31456,7393672.760125,2411.474500,7396084.234625,10000,10000,8581,8583,,,,,,,,,,,,,,,,,,,,5.066300,,676.564352,DQTA(k_max=3),3,27.000000,,,,,,,80.000000,,,27164,0.368134,84.830100,99.366200,1841963.000000,184.196300,1.165094,14780.560000,,,,,,
10000,96,dispersed,dispersed,scenario_label=dispersed,0.000000,True,True,formal_experiment10_algorithm_comparison,101697167,2108425597,18806410.000000,1191870.000000,5846803.000000,29140,9390994.087375,5307.141500,9396301.228875,10000,10000,2065,11383,,,,,,,,,,,,,,,,,,,,8.920900,,531.733595,DQTA(k_max=3),3,20.000000,,,,,,,,,,23448,0.426476,584.680300,119.187000,7038673.000000,703.867300,0.878503,18806.410000,,,,,,
