BINARY_LENGTH,scenario_label,TOTAL_TAGS,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,peak_unidentified_tags_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
96,sequential,2000,sequential,"scenario_label=sequential,TOTAL_TAGS=2000",0.000000,True,True,formal_sgct_scalability,2830274402,4108383496,1963395.000000,134886.000000,81952.000000,3728,199168.123000,310.748000,199478.871000,2000,2000,1,1151,,,,,,,,,,,,,,,,,,,,4.000000,,1018.643727,DQTA(k_max=3),0,21.000000,,,,,,,,,,3152,0.634518,40.976000,67.443000,216838.000000,108.419000,1.737619,1963.395000,,,,,,
96,sequential,3000,sequential,"scenario_label=sequential,TOTAL_TAGS=3000",0.000000,True,True,formal_sgct_scalability,2651813288,3994398979,1581602.500000,99585.000000,144000.000000,4290,239463.824500,271.170000,239734.994500,3000,3000,4,857,,,,,,,,,,,,,,,,,,,,4.000000,,1896.810355,DQTA(k_max=3),0,19.000000,,,,,,,,,,3861,0.777001,48.000000,33.195000,243585.000000,81.195000,3.500583,1581.602500,,,,,,
96,sequential,5000,sequential,"scenario_label=sequential,TOTAL_TAGS=5000",0.000000,True,True,formal_sgct_scalability,2360170134,1034121522,9358746.250000,673940.000000,284888.000000,13564,2341112.575500,1490.324000,2342602.899500,5000,5000,3,5707,,,,,,,,,,,,,,,,,,,,4.996800,,534.259597,DQTA(k_max=3),0,25.000000,,,,,,,,,,10710,0.466853,56.977600,134.788000,958828.000000,191.765600,0.876117,9358.746250,,,,,,
96,sequential,7000,sequential,"scenario_label=sequential,TOTAL_TAGS=7000",0.000000,True,True,formal_sgct_scalability,2346835583,4100411017,13106697.500000,943853.000000,398976.000000,18994,4589903.882500,2087.194000,4591991.076500,7000,7000,4,7993,,,,,,,,,,,,,,,,,,,,4.998857,,534.078093,DQTA(k_max=3),0,27.000000,,,,,,,,,,14997,0.466760,56.996571,134.836143,1342829.000000,191.832714,0.875766,13106.697500,,,,,,
96,sequential,10000,sequential,"scenario_label=sequential,TOTAL_TAGS=10000",0.000000,True,True,formal_sgct_scalability,2636604134,4097726362,9760685.000000,670128.000000,659744.000000,18588,4896178.559000,1670.128000,4897848.687000,10000,10000,3,5723,,,,,,,,,,,,,,,,,,,,4.998400,,1024.518259,DQTA(k_max=3),0,25.000000,,,,,,,,,,15726,0.635890,65.974400,67.012800,1329872.000000,132.987200,1.747335,9760.685000,,,,,,
96,random,1000,random,"scenario_label=random,TOTAL_TAGS=1000",0.000000,True,True,formal_sgct_scalability,1630794591,588949828,1664623.750000,31814.000000,731638.000000,3404,83607.187875,429.447000,84036.634875,1000,1000,965,959,,,,,,,,,,,,,,,,,,,,4.076000,,600.736353,DQTA(k_max=3),1,20.000000,,,,,,,,,,2924,0.341997,731.638000,31.814000,763452.000000,763.452000,1.042753,1664.623750,,,,,,
96,random,2000,random,"scenario_label=random,TOTAL_TAGS=2000",0.000000,True,True,formal_sgct_scalability,747168144,830509772,3258727.500000,62573.000000,1570090.000000,6962,328709.409000,910.191000,329619.600000,2000,2000,2206,1837,,,,,,,,,,,,,,,,,,,,4.396500,,613.736497,DQTA(k_max=3),1,21.000000,,,,,,,,,,6043,0.330961,785.045000,31.286500,1632663.000000,816.331500,1.088732,3258.727500,,,,,,
96,random,3000,random,"scenario_label=random,TOTAL_TAGS=3000",0.000000,True,True,formal_sgct_scalability,145018533,439988472,4787150.000000,92421.000000,2442740.000000,10208,718569.696625,1406.212000,719975.908625,3000,3000,3210,2665,,,,,,,,,,,,,,,,,,,,4.574000,,626.677668,DQTA(k_max=3),1,23.000000,,,,,,,,,,8875,0.338028,814.246667,30.807000,2535161.000000,845.053667,1.125704,4787.150000,,,,,,
96,random,5000,random,"scenario_label=random,TOTAL_TAGS=5000",0.000000,True,True,formal_sgct_scalability,933245201,1531667483,8077815.000000,160792.000000,4272215.000000,17302,2028051.073125,2457.691500,2030508.764625,5000,5000,5511,4527,,,,,,,,,,,,,,,,,,,,4.820600,,618.979266,DQTA(k_max=3),1,24.000000,,,,,,,,,,15038,0.332491,854.443000,32.158400,4433007.000000,886.601400,1.104484,8077.815000,,,,,,
96,random,7000,random,"scenario_label=random,TOTAL_TAGS=7000",0.000000,True,True,formal_sgct_scalability,3174999052,3324489185,11486186.250000,234769.000000,6182571.000000,24153,4030877.245750,3560.823500,4034438.069250,7000,7000,7359,6529,,,,,,,,,,,,,,,,,,,,4.996714,,609.427694,DQTA(k_max=3),1,26.000000,,,,,,,,,,20888,0.335121,883.224429,33.538429,6417340.000000,916.762857,1.072140,11486.186250,,,,,,
96,random,10000,random,"scenario_label=random,TOTAL_TAGS=10000",0.000000,True,True,formal_sgct_scalability,1274317172,2738849879,16264591.250000,334056.000000,9094195.000000,34557,8146158.608125,5215.209500,8151373.817625,10000,10000,10782,9183,,,,,,,,,,,,,,,,,,,,5.158700,,614.832543,DQTA(k_max=3),1,28.000000,,,,,,,,,,29965,0.333723,909.419500,33.405600,9428251.000000,942.825100,1.088969,16264.591250,,,,,,
96,prefixed,1000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=1000",0.000000,True,True,formal_sgct_scalability,465711409,1041343994,1653072.500000,77395.000000,341615.000000,3539,82174.036875,325.597500,82499.634375,1000,1000,1109,953,,,,,,,,,,,,,,,,,,,,4.094000,,604.934145,DQTA(k_max=3),1,18.000000,,,,,,,48.000000,,,3062,0.326584,341.615000,77.395000,419010.000000,419.010000,1.049318,1653.072500,,,,,,
96,prefixed,2000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=2000",0.000000,True,True,formal_sgct_scalability,481914339,797331599,3145558.750000,146536.000000,720776.000000,6932,319237.076625,653.460000,319890.536625,2000,2000,2251,1787,,,,,,,,,,,,,,,,,,,,4.360000,,635.817087,DQTA(k_max=3),1,22.000000,,,,,,,48.000000,,,6038,0.331236,360.388000,73.268000,867312.000000,433.656000,1.119194,3145.558750,,,,,,
96,prefixed,3000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=3000",0.000000,True,True,formal_sgct_scalability,855205102,2457135358,4636187.500000,217067.000000,1122713.000000,10197,696103.010750,995.490500,697098.501250,3000,3000,3259,2625,,,,,,,,,,,,,,,,,,,,4.562000,,647.083406,DQTA(k_max=3),1,24.000000,,,,,,,48.000000,,,8884,0.337686,374.237667,72.355667,1339780.000000,446.593333,1.142857,4636.187500,,,,,,
96,prefixed,5000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=5000",0.000000,True,True,formal_sgct_scalability,620303992,1408865601,7953803.750000,380451.000000,1961344.000000,17036,1995878.560125,1741.574000,1997620.134125,5000,5000,5206,4553,,,,,,,,,,,,,,,,,,,,4.829400,,628.630044,DQTA(k_max=3),1,25.000000,,,,,,,48.000000,,,14759,0.338776,392.268800,76.090200,2341795.000000,468.359000,1.098177,7953.803750,,,,,,
96,prefixed,7000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=7000",0.000000,True,True,formal_sgct_scalability,2176321467,1481944011,11265982.500000,543044.000000,2821658.000000,24067,3950738.623375,2496.917000,3953235.540375,7000,7000,7360,6471,,,,,,,,,,,,,,,,,,,,4.989286,,621.339506,DQTA(k_max=3),1,24.000000,,,,,,,48.000000,,,20831,0.336038,403.094000,77.577714,3364702.000000,480.671714,1.081749,11265.982500,,,,,,
96,prefixed,10000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=10000",0.000000,True,True,formal_sgct_scalability,2830608193,722752979,16117966.250000,780100.000000,4149394.000000,34932,8096546.190250,3634.897000,8100181.087250,10000,10000,11067,9243,,,,,,,,,,,,,,,,,,,,5.170300,,620.425669,DQTA(k_max=3),1,28.000000,,,,,,,48.000000,,,30310,0.329924,414.939400,78.010000,4929494.000000,492.949400,1.081900,16117.966250,,,,,,
96,clustered,1000,clustered,"scenario_label=clustered,TOTAL_TAGS=1000",0.000000,True,True,formal_sgct_scalability,1320690132,189016544,1596428.750000,86432.000000,537564.000000,3324,80936.944000,441.646000,81378.590000,1000,1000,939,923,,,,,,,,,,,,,,,,,,,,5.029000,,626.398140,DQTA(k_max=3),1,19.000000,,,,,,,,8.000000,64.000000,2862,0.349406,537.564000,86.432000,623996.000000,623.996000,1.083424,1596.428750,,,,,,
96,clustered,2000,clustered,"scenario_label=clustered,TOTAL_TAGS=2000",0.000000,True,True,formal_sgct_scalability,3502095046,3744761712,3239812.500000,176831.000000,967992.000000,7052,326274.361875,837.658000,327112.019875,2000,2000,2254,1865,,,,,,,,,,,,,,,,,,,,5.023500,,617.319675,DQTA(k_max=3),1,20.000000,,,,,,,,8.000000,64.000000,6119,0.326851,483.996000,88.415500,1144823.000000,572.411500,1.072386,3239.812500,,,,,,
96,clustered,3000,clustered,"scenario_label=clustered,TOTAL_TAGS=3000",0.000000,True,True,formal_sgct_scalability,3593931808,1617815431,4641313.750000,253290.000000,1408107.000000,10200,698269.107250,1210.633500,699479.740750,3000,3000,3223,2651,,,,,,,,,,,,,,,,,,,,5.055667,,646.368714,DQTA(k_max=3),1,22.000000,,,,,,,,8.000000,64.000000,8874,0.338066,469.369000,84.430000,1661397.000000,553.799000,1.131648,4641.313750,,,,,,
96,clustered,5000,clustered,"scenario_label=clustered,TOTAL_TAGS=5000",0.000000,True,True,formal_sgct_scalability,480217948,2915702382,7702308.750000,425633.000000,2618539.000000,16485,1926323.491125,2160.535500,1928484.026625,5000,5000,4859,4417,,,,,,,,,,,,,,,,,,,,5.534400,,649.156008,DQTA(k_max=3),1,21.000000,,,,,,,,8.000000,64.000000,14276,0.350238,523.707800,85.126600,3044172.000000,608.834400,1.131990,7702.308750,,,,,,
96,clustered,7000,clustered,"scenario_label=clustered,TOTAL_TAGS=7000",0.000000,True,True,formal_sgct_scalability,2980380426,494599350,11252998.750000,629550.000000,3885026.000000,23924,3954333.031750,3201.613000,3957534.644750,7000,7000,7175,6499,,,,,,,,,,,,,,,,,,,,5.865286,,622.056410,DQTA(k_max=3),1,23.000000,,,,,,,,8.000000,64.000000,20674,0.338590,555.003714,89.935714,4514576.000000,644.939429,1.077089,11252.998750,,,,,,
96,clustered,10000,clustered,"scenario_label=clustered,TOTAL_TAGS=10000",0.000000,True,True,formal_sgct_scalability,1197171307,783818364,16134102.500000,905183.000000,5407257.000000,35012,8087673.047750,4513.994500,8092187.042250,10000,10000,11066,9297,,,,,,,,,,,,,,,,,,,,5.920700,,619.805161,DQTA(k_max=3),1,25.000000,,,,,,,,8.000000,64.000000,30363,0.329348,540.725700,90.518300,6312440.000000,631.244000,1.075616,16134.102500,,,,,,
96,sequential,1000,sequential,"scenario_label=sequential,TOTAL_TAGS=1000",0.000000,True,True,formal_sgct_scalability,4201910463,1516880123,1862881.250000,134126.000000,33976.000000,2704,93268.157500,285.240000,93553.397500,1000,1000,1,1135,,,,,,,,,,,,,,,,,,,,3.992000,,536.802869,DQTA(k_max=3),1,21.000000,,,,,,,,,,2136,0.468165,33.976000,134.126000,168102.000000,168.102000,0.881057,1862.881250,,,,,,
96,sequential,2000,sequential,"scenario_label=sequential,TOTAL_TAGS=2000",0.000000,True,True,formal_sgct_scalability,3290028378,387209444,1963395.000000,134886.000000,81952.000000,3728,199168.123000,310.748000,199478.871000,2000,2000,1,1151,,,,,,,,,,,,,,,,,,,,4.000000,,1018.643727,DQTA(k_max=3),1,21.000000,,,,,,,,,,3152,0.634518,40.976000,67.443000,216838.000000,108.419000,1.737619,1963.395000,,,,,,
96,sequential,3000,sequential,"scenario_label=sequential,TOTAL_TAGS=3000",0.000000,True,True,formal_sgct_scalability,3435578101,1334985747,1581602.500000,99585.000000,144000.000000,4290,239463.824500,271.170000,239734.994500,3000,3000,4,857,,,,,,,,,,,,,,,,,,,,4.000000,,1896.810355,DQTA(k_max=3),1,19.000000,,,,,,,,,,3861,0.777001,48.000000,33.195000,243585.000000,81.195000,3.500583,1581.602500,,,,,,
96,sequential,5000,sequential,"scenario_label=sequential,TOTAL_TAGS=5000",0.000000,True,True,formal_sgct_scalability,1404995728,3599006990,9358746.250000,673940.000000,284888.000000,13564,2341112.575500,1490.324000,2342602.899500,5000,5000,3,5707,,,,,,,,,,,,,,,,,,,,4.996800,,534.259597,DQTA(k_max=3),1,25.000000,,,,,,,,,,10710,0.466853,56.977600,134.788000,958828.000000,191.765600,0.876117,9358.746250,,,,,,
96,sequential,7000,sequential,"scenario_label=sequential,TOTAL_TAGS=7000",0.000000,True,True,formal_sgct_scalability,2065049954,1939529393,13106697.500000,943853.000000,398976.000000,18994,4589903.882500,2087.194000,4591991.076500,7000,7000,4,7993,,,,,,,,,,,,,,,,,,,,4.998857,,534.078093,DQTA(k_max=3),1,27.000000,,,,,,,,,,14997,0.466760,56.996571,134.836143,1342829.000000,191.832714,0.875766,13106.697500,,,,,,
96,sequential,10000,sequential,"scenario_label=sequential,TOTAL_TAGS=10000",0.000000,True,True,formal_sgct_scalability,76186621,210154191,9760685.000000,670128.000000,659744.000000,18588,4896178.559000,1670.128000,4897848.687000,10000,10000,3,5723,,,,,,,,,,,,,,,,,,,,4.998400,,1024.518259,DQTA(k_max=3),1,25.000000,,,,,,,,,,15726,0.635890,65.974400,67.012800,1329872.000000,132.987200,1.747335,9760.685000,,,,,,
96,random,1000,random,"scenario_label=random,TOTAL_TAGS=1000",0.000000,True,True,formal_sgct_scalability,2930873339,2045720404,1641673.750000,30795.000000,729807.000000,3507,83255.104500,426.493500,83681.598000,1000,1000,1113,929,,,,,,,,,,,,,,,,,,,,4.066000,,609.134428,DQTA(k_max=3),2,19.000000,,,,,,,,,,3042,0.328731,729.807000,30.795000,760602.000000,760.602000,1.076426,1641.673750,,,,,,
96,random,2000,random,"scenario_label=random,TOTAL_TAGS=2000",0.000000,True,True,formal_sgct_scalability,2165546772,1554217885,3259680.000000,62536.000000,1567499.000000,6952,328969.044250,908.821500,329877.865750,2000,2000,2193,1839,,,,,,,,,,,,,,,,,,,,4.388500,,613.557159,DQTA(k_max=3),2,22.000000,,,,,,,,,,6032,0.331565,783.749500,31.268000,1630035.000000,815.017500,1.087548,3259.680000,,,,,,
96,random,3000,random,"scenario_label=random,TOTAL_TAGS=3000",0.000000,True,True,formal_sgct_scalability,2976054247,3523636438,4803596.250000,92853.000000,2443068.000000,10294,721482.842000,1407.240000,722890.082000,3000,3000,3278,2677,,,,,,,,,,,,,,,,,,,,4.574667,,624.532089,DQTA(k_max=3),2,22.000000,,,,,,,,,,8955,0.335008,814.356000,30.951000,2535921.000000,845.307000,1.120657,4803.596250,,,,,,
96,random,5000,random,"scenario_label=random,TOTAL_TAGS=5000",0.000000,True,True,formal_sgct_scalability,1464420452,595365263,8026723.750000,160129.000000,4265170.000000,16719,2000218.716375,2452.843000,2002671.559375,5000,5000,4955,4509,,,,,,,,,,,,,,,,,,,,4.811600,,622.919158,DQTA(k_max=3),2,25.000000,,,,,,,,,,14464,0.345686,853.034000,32.025800,4425299.000000,885.059800,1.108893,8026.723750,,,,,,
96,random,7000,random,"scenario_label=random,TOTAL_TAGS=7000",0.000000,True,True,formal_sgct_scalability,663251579,3396704703,11329776.250000,229706.000000,6158377.000000,23762,3976866.852500,3538.600500,3980405.453000,7000,7000,7175,6391,,,,,,,,,,,,,,,,,,,,4.975857,,617.840975,DQTA(k_max=3),2,27.000000,,,,,,,,,,20566,0.340368,879.768143,32.815143,6388083.000000,912.583286,1.095290,11329.776250,,,,,,
96,random,10000,random,"scenario_label=random,TOTAL_TAGS=10000",0.000000,True,True,formal_sgct_scalability,3150725692,3908249148,16424723.750000,339671.000000,9112908.000000,34858,8232924.121875,5235.796000,8238159.917875,10000,10000,10864,9329,,,,,,,,,,,,,,,,,,,,5.170400,,608.838246,DQTA(k_max=3),2,28.000000,,,,,,,,,,30193,0.331203,911.290800,33.967100,9452579.000000,945.257900,1.071926,16424.723750,,,,,,
96,prefixed,1000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=1000",0.000000,True,True,formal_sgct_scalability,3855907982,915883944,1587060.000000,73252.000000,336200.000000,3482,80315.828125,314.604000,80630.432125,1000,1000,1127,903,,,,,,,,,,,,,,,,,,,,4.021000,,630.095901,DQTA(k_max=3),2,19.000000,,,,,,,48.000000,,,3030,0.330033,336.200000,73.252000,409452.000000,409.452000,1.107420,1587.060000,,,,,,
96,prefixed,2000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=2000",0.000000,True,True,formal_sgct_scalability,3345224290,2136781828,3183406.250000,148960.000000,725148.000000,6980,319891.463875,660.494000,320551.957875,2000,2000,2257,1815,,,,,,,,,,,,,,,,,,,,4.392000,,628.257861,DQTA(k_max=3),2,23.000000,,,,,,,48.000000,,,6072,0.329381,362.574000,74.480000,874108.000000,437.054000,1.101928,3183.406250,,,,,,
