experiment_name,algorithm_name,run_id,point_seed,algorithm_seed,id_distribution
formal_distribution_robustness,DQTA(k_max=3),41,1508277523,4148722157,prefixed
formal_distribution_robustness,DQTA(k_max=3),41,1228546875,48390378,sequential
formal_distribution_robustness,DQTA(k_max=3),41,3355097659,1685247503,dispersed
formal_distribution_robustness,DQTA(k_max=3),42,2502222003,2965708416,random
formal_distribution_robustness,DQTA(k_max=3),42,3218258936,383080928,prefixed
formal_distribution_robustness,DQTA(k_max=3),42,420393158,59928739,sequential
formal_distribution_robustness,DQTA(k_max=3),42,4226021658,1358399214,dispersed
formal_distribution_robustness,DQTA(k_max=3),43,775781862,3530315386,random
formal_distribution_robustness,DQTA(k_max=3),43,4145872619,1653776122,prefixed
formal_distribution_robustness,DQTA(k_max=3),43,3004090732,251279077,sequential
formal_distribution_robustness,DQTA(k_max=3),43,1768952860,3325437108,dispersed
formal_distribution_robustness,DQTA(k_max=3),44,232021968,3257350454,random
formal_distribution_robustness,DQTA(k_max=3),44,228942256,1079560380,prefixed
formal_distribution_robustness,DQTA(k_max=3),44,3384500030,260342934,sequential
formal_distribution_robustness,DQTA(k_max=3),44,2533178306,2849236657,dispersed
formal_distribution_robustness,DQTA(k_max=3),45,2715870229,3079904587,random
formal_distribution_robustness,DQTA(k_max=3),45,3171957295,2877214248,prefixed
formal_distribution_robustness,DQTA(k_max=3),45,2134763267,1461311317,sequential
formal_distribution_robustness,DQTA(k_max=3),45,3826240204,365247316,dispersed
formal_distribution_robustness,DQTA(k_max=3),46,3963196451,2649183946,random
formal_distribution_robustness,DQTA(k_max=3),46,782125545,752638784,prefixed
formal_distribution_robustness,DQTA(k_max=3),46,861322544,2345705372,sequential
formal_distribution_robustness,DQTA(k_max=3),46,2210168777,2284659615,dispersed
formal_distribution_robustness,DQTA(k_max=3),47,48819939,3717285052,random
formal_distribution_robustness,DQTA(k_max=3),47,2680848949,1073988231,prefixed
formal_distribution_robustness,DQTA(k_max=3),47,2604051299,2542034156,sequential
formal_distribution_robustness,DQTA(k_max=3),47,105846042,1427739380,dispersed
formal_distribution_robustness,DQTA(k_max=3),48,1581774350,1760780994,random
formal_distribution_robustness,DQTA(k_max=3),48,3033796360,2116360078,prefixed
formal_distribution_robustness,DQTA(k_max=3),48,1105064137,795313143,sequential
formal_distribution_robustness,DQTA(k_max=3),48,211044602,3774740533,dispersed
formal_distribution_robustness,DQTA(k_max=3),49,621164021,1976021144,random
formal_distribution_robustness,DQTA(k_max=3),49,1899186387,907032664,prefixed
formal_distribution_robustness,DQTA(k_max=3),49,1272058508,3794520858,sequential
formal_distribution_robustness,DQTA(k_max=3),49,3715116770,3745411989,dispersed
formal_distribution_robustness,EAQ_CBB,0,145061007,2893210009,random
formal_distribution_robustness,EAQ_CBB,0,4253869804,96903138,prefixed
formal_distribution_robustness,EAQ_CBB,0,2877941706,3972088203,sequential
formal_distribution_robustness,EAQ_CBB,0,365079545,1092726122,dispersed
formal_distribution_robustness,EAQ_CBB,1,3443043847,242966684,random
formal_distribution_robustness,EAQ_CBB,1,3563885791,2634741190,prefixed
formal_distribution_robustness,EAQ_CBB,1,1698211127,1939524126,sequential
formal_distribution_robustness,EAQ_CBB,1,915139748,3628158147,dispersed
formal_distribution_robustness,EAQ_CBB,2,3876848227,3630553893,random
formal_distribution_robustness,EAQ_CBB,2,3214578017,3260044429,prefixed
formal_distribution_robustness,EAQ_CBB,2,2062312987,2173181781,sequential
formal_distribution_robustness,EAQ_CBB,2,2711283668,2605524599,dispersed
formal_distribution_robustness,EAQ_CBB,3,422175063,3265172799,random
formal_distribution_robustness,EAQ_CBB,3,851243702,4156077426,prefixed
formal_distribution_robustness,EAQ_CBB,3,2853207391,1530058349,sequential
formal_distribution_robustness,EAQ_CBB,3,1060205302,2541441919,dispersed
formal_distribution_robustness,EAQ_CBB,4,227964392,2621947580,random
formal_distribution_robustness,EAQ_CBB,4,556190795,2428976225,prefixed
formal_distribution_robustness,EAQ_CBB,4,3880519409,89659675,sequential
formal_distribution_robustness,EAQ_CBB,4,3025823809,3493464533,dispersed
formal_distribution_robustness,EAQ_CBB,5,3641769407,1826517276,random
formal_distribution_robustness,EAQ_CBB,5,3325320831,3413754917,prefixed
formal_distribution_robustness,EAQ_CBB,5,2415525930,4080356097,sequential
formal_distribution_robustness,EAQ_CBB,5,11758426,3587737167,dispersed
formal_distribution_robustness,EAQ_CBB,6,1753405102,1225175627,random
formal_distribution_robustness,EAQ_CBB,6,438490798,3840589774,prefixed
formal_distribution_robustness,EAQ_CBB,6,1884854561,2390817388,sequential
formal_distribution_robustness,EAQ_CBB,6,2336461778,720181432,dispersed
formal_distribution_robustness,EAQ_CBB,7,2887159121,3520655691,random
formal_distribution_robustness,EAQ_CBB,7,3621438902,1886616814,prefixed
formal_distribution_robustness,EAQ_CBB,7,977704732,3364716678,sequential
formal_distribution_robustness,EAQ_CBB,7,77858678,1295526349,dispersed
formal_distribution_robustness,EAQ_CBB,8,750136302,921062648,random
formal_distribution_robustness,EAQ_CBB,8,1805391087,3514290244,prefixed
formal_distribution_robustness,EAQ_CBB,8,1663675527,1979422895,sequential
formal_distribution_robustness,EAQ_CBB,8,2292991978,1552572026,dispersed
formal_distribution_robustness,EAQ_CBB,9,2353765644,1636294239,random
formal_distribution_robustness,EAQ_CBB,9,2515774820,3236633158,prefixed
formal_distribution_robustness,EAQ_CBB,9,4222671049,831042131,sequential
formal_distribution_robustness,EAQ_CBB,9,3175417247,495678989,dispersed
formal_distribution_robustness,EAQ_CBB,10,1299934156,3444641665,random
formal_distribution_robustness,EAQ_CBB,10,2811548696,3963329568,prefixed
formal_distribution_robustness,EAQ_CBB,10,1384937056,2817566231,sequential
formal_distribution_robustness,EAQ_CBB,10,1584935888,295400993,dispersed
formal_distribution_robustness,EAQ_CBB,11,104704096,2033183752,random
formal_distribution_robustness,EAQ_CBB,11,3663031083,1326703697,prefixed
formal_distribution_robustness,EAQ_CBB,11,3774987062,99328133,sequential
formal_distribution_robustness,EAQ_CBB,11,989768170,455712116,dispersed
formal_distribution_robustness,EAQ_CBB,12,3521431585,2296414686,random
formal_distribution_robustness,EAQ_CBB,12,4056636307,2790339862,prefixed
formal_distribution_robustness,EAQ_CBB,12,2048252943,2199261245,sequential
formal_distribution_robustness,EAQ_CBB,12,2594238279,2443023356,dispersed
formal_distribution_robustness,EAQ_CBB,13,3278886077,201985212,random
formal_distribution_robustness,EAQ_CBB,13,2126349989,3442592003,prefixed
formal_distribution_robustness,EAQ_CBB,13,26174226,1638514712,sequential
formal_distribution_robustness,EAQ_CBB,13,2288279230,90542977,dispersed
formal_distribution_robustness,EAQ_CBB,14,161231623,3970841842,random
formal_distribution_robustness,EAQ_CBB,14,4212446728,4126382798,prefixed
formal_distribution_robustness,EAQ_CBB,14,2035020587,1385918387,sequential
formal_distribution_robustness,EAQ_CBB,14,48442711,4110047451,dispersed
formal_distribution_robustness,EAQ_CBB,15,1924295734,3160727477,random
formal_distribution_robustness,EAQ_CBB,15,590080666,1845960497,prefixed
formal_distribution_robustness,EAQ_CBB,15,3779046361,4066429481,sequential
formal_distribution_robustness,EAQ_CBB,15,1798624720,407061341,dispersed
formal_distribution_robustness,EAQ_CBB,16,1419929687,1498892594,random
formal_distribution_robustness,EAQ_CBB,16,2887136949,1908424914,prefixed
formal_distribution_robustness,EAQ_CBB,16,804649392,2912352424,sequential
formal_distribution_robustness,EAQ_CBB,16,4174828219,2810677669,dispersed
formal_distribution_robustness,EAQ_CBB,17,2272509478,3796999239,random
formal_distribution_robustness,EAQ_CBB,17,3248229151,1466701047,prefixed
formal_distribution_robustness,EAQ_CBB,17,3038405551,4027504679,sequential
formal_distribution_robustness,EAQ_CBB,17,1795630488,1309073838,dispersed
formal_distribution_robustness,EAQ_CBB,18,1507016691,3728450890,random
formal_distribution_robustness,EAQ_CBB,18,2341235052,3373710169,prefixed
formal_distribution_robustness,EAQ_CBB,18,980718088,4011688179,sequential
formal_distribution_robustness,EAQ_CBB,18,298558223,960991739,dispersed
formal_distribution_robustness,EAQ_CBB,19,2301732985,441500991,random
formal_distribution_robustness,EAQ_CBB,19,1755163652,2346997990,prefixed
formal_distribution_robustness,EAQ_CBB,19,1352527993,1690894335,sequential
formal_distribution_robustness,EAQ_CBB,19,1846464142,3971420667,dispersed
formal_distribution_robustness,EAQ_CBB,20,345929764,2207154935,random
formal_distribution_robustness,EAQ_CBB,20,710515192,1900442911,prefixed
formal_distribution_robustness,EAQ_CBB,20,3454774280,4248040299,sequential
formal_distribution_robustness,EAQ_CBB,20,2916227944,2728171934,dispersed
formal_distribution_robustness,EAQ_CBB,21,3286870680,651747146,random
formal_distribution_robustness,EAQ_CBB,21,362681613,1780580668,prefixed
formal_distribution_robustness,EAQ_CBB,21,998318072,1435352185,sequential
formal_distribution_robustness,EAQ_CBB,21,1625762580,775521485,dispersed
formal_distribution_robustness,EAQ_CBB,22,44382793,368824802,random
formal_distribution_robustness,EAQ_CBB,22,1782518140,969086965,prefixed
formal_distribution_robustness,EAQ_CBB,22,2140672480,1307397758,sequential
formal_distribution_robustness,EAQ_CBB,22,1826108512,3895050773,dispersed
formal_distribution_robustness,EAQ_CBB,23,1861644480,1022979,random
formal_distribution_robustness,EAQ_CBB,23,592695753,1288989879,prefixed
formal_distribution_robustness,EAQ_CBB,23,3987826168,903998562,sequential
formal_distribution_robustness,EAQ_CBB,23,3754806040,500319772,dispersed
formal_distribution_robustness,EAQ_CBB,24,3949326446,3781417476,random
formal_distribution_robustness,EAQ_CBB,24,3812003300,850988360,prefixed
formal_distribution_robustness,EAQ_CBB,24,3450956412,1239861225,sequential
formal_distribution_robustness,EAQ_CBB,24,1409138236,3452554608,dispersed
formal_distribution_robustness,EAQ_CBB,25,652446159,3365526516,random
formal_distribution_robustness,EAQ_CBB,25,1186402450,2684509336,prefixed
formal_distribution_robustness,EAQ_CBB,25,1217400395,3192056360,sequential
formal_distribution_robustness,EAQ_CBB,25,3009963048,1585484475,dispersed
formal_distribution_robustness,EAQ_CBB,26,136704418,3172064205,random
