TOTAL_TAGS,BINARY_LENGTH,id_distribution,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,ovg_trigger_count,hbmt_ovg_trigger_count,fallback_invocation_count,prefix_stagnation_trigger_count,prefix_stag_score_trigger_count,repeated_pattern_trigger_count,ovg_rehash_count,ovg_width_up_count,ovg_width_down_count,ovg_no_singleton_count,ovg_success_count,post_ovg_singleton_count,ovg_fallback_avoid_count,inspect_collision_count,fcw_cache_created_count,fcw_cache_hit_count,fcw_cache_hit_ratio,fcw_fast_path_count,fcw_width_up_count,fcw_width_down_count,adaptive_cbit_r4_count,multibit_fallback_count,mode_lock1_count,mode_lock2_count,mode_cbit_count,mode_pivot_count,mode_ovg_count,mode_fallback_count,fallback_invocation_ratio,min_tag_responses,max_tag_responses,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,drct_random_check_count,drct_unresolved_stack_empty_count,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,channel_use_ratio
5000,96,random,0.000000,True,True,formal_distribution_robustness,3641769407,3878817318,8040087.500000,160302.000000,4264505.000000,16853,2012245.559875,2452.856500,2014698.416375,5000,5000,5080,4515,,,,,,,,,,,,,,,,,,,,4.810800,,621.883779,DQTA(k_max=3),5,23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14595,0.342583,852.901000,32.060400,4424807.000000,884.961400,1.107420,8040.087500,,,,,,,,,,,
5000,96,prefixed,0.000000,True,True,formal_distribution_robustness,3325320831,45863573,7857313.750000,374934.000000,1955392.000000,16730,1960937.606875,1727.564000,1962665.170875,5000,5000,4993,4491,,,,,,,,,,,,,,,,,,,,4.810000,,636.349796,DQTA(k_max=3),5,24.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14484,0.345209,391.078400,74.986800,2330326.000000,466.065200,1.113338,7857.313750,,,,,,,,,,,
5000,96,sequential,0.000000,True,True,formal_distribution_robustness,2415525930,3582580096,9358746.250000,673940.000000,284888.000000,13564,2341112.575500,1490.324000,2342602.899500,5000,5000,3,5707,,,,,,,,,,,,,,,,,,,,4.996800,,534.259597,DQTA(k_max=3),5,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10710,0.466853,56.977600,134.788000,958828.000000,191.765600,0.876117,9358.746250,,,,,,,,,,,
5000,96,dispersed,0.000000,True,True,formal_distribution_robustness,11758426,3804591704,10196868.750000,685960.000000,2182783.000000,17395,2545990.102875,2463.311500,2548453.414375,5000,5000,3162,6155,,,,,,,,,,,,,,,,,,,,9.444600,,490.346608,DQTA(k_max=3),5,17.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14317,0.349235,436.556600,137.192000,2868743.000000,573.748600,0.812348,10196.868750,,,,,,,,,,,
5000,96,random,0.000000,True,True,formal_distribution_robustness,1753405102,3299956253,7970856.250000,158136.000000,4255664.000000,16663,2000420.182625,2444.104000,2002864.286625,5000,5000,4980,4455,,,,,,,,,,,,,,,,,,,,4.800200,,627.285180,DQTA(k_max=3),6,24.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14435,0.346380,851.132800,31.627200,4413800.000000,882.760000,1.122334,7970.856250,,,,,,,,,,,
5000,96,prefixed,0.000000,True,True,formal_distribution_robustness,438490798,3753603128,7867262.500000,375292.000000,1957416.000000,16823,1970254.722750,1729.292000,1971984.014750,5000,5000,5080,4495,,,,,,,,,,,,,,,,,,,,4.816400,,635.545083,DQTA(k_max=3),6,26.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14575,0.343053,391.483200,75.058400,2332708.000000,466.541600,1.112347,7867.262500,,,,,,,,,,,
5000,96,sequential,0.000000,True,True,formal_distribution_robustness,1884854561,1016705532,9358746.250000,673940.000000,284888.000000,13564,2341112.575500,1490.324000,2342602.899500,5000,5000,3,5707,,,,,,,,,,,,,,,,,,,,4.996800,,534.259597,DQTA(k_max=3),6,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10710,0.466853,56.977600,134.788000,958828.000000,191.765600,0.876117,9358.746250,,,,,,,,,,,
5000,96,dispersed,0.000000,True,True,formal_distribution_robustness,2336461778,3516037040,12080958.750000,825134.000000,2849439.000000,16976,3027614.381375,3074.987500,3030689.368875,5000,5000,775,7467,,,,,,,,,,,,,,,,,,,,9.607200,,413.874437,DQTA(k_max=3),6,16.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13242,0.377586,569.887800,165.026800,3674573.000000,734.914600,0.669613,12080.958750,,,,,,,,,,,
5000,96,random,0.000000,True,True,formal_distribution_robustness,2887159121,3771955472,7981051.250000,158199.000000,4254052.000000,16742,2000139.919250,2443.424000,2002583.343250,5000,5000,5050,4461,,,,,,,,,,,,,,,,,,,,4.797800,,626.483886,DQTA(k_max=3),7,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14511,0.344566,850.810400,31.639800,4412251.000000,882.450200,1.120825,7981.051250,,,,,,,,,,,
5000,96,prefixed,0.000000,True,True,formal_distribution_robustness,3621438902,3173723187,7915008.750000,378120.000000,1957968.000000,16938,1979726.497875,1735.224000,1981461.721875,5000,5000,5147,4527,,,,,,,,,,,,,,,,,,,,4.819000,,631.711241,DQTA(k_max=3),7,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14674,0.340739,391.593600,75.624000,2336088.000000,467.217600,1.104484,7915.008750,,,,,,,,,,,
