BINARY_LENGTH,id_distribution,TOTAL_TAGS,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,ovg_trigger_count,hbmt_ovg_trigger_count,fallback_invocation_count,prefix_stagnation_trigger_count,prefix_stag_score_trigger_count,repeated_pattern_trigger_count,ovg_rehash_count,ovg_width_up_count,ovg_width_down_count,ovg_no_singleton_count,ovg_success_count,post_ovg_singleton_count,ovg_fallback_avoid_count,inspect_collision_count,fcw_cache_created_count,fcw_cache_hit_count,fcw_cache_hit_ratio,fcw_fast_path_count,fcw_width_up_count,fcw_width_down_count,adaptive_cbit_r4_count,multibit_fallback_count,mode_lock1_count,mode_lock2_count,mode_cbit_count,mode_pivot_count,mode_ovg_count,mode_fallback_count,fallback_invocation_ratio,min_tag_responses,max_tag_responses,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,drct_random_check_count,drct_unresolved_stack_empty_count,peak_unidentified_tags_count,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,channel_use_ratio
96,random,3000,0.000000,True,True,formal_main_scalability_uniform,2937840634,3787026056,6719458.750000,439002.000000,420908.000000,5503,1005829.823375,1088.458000,1006918.281375,3000,3000,0,2502,,,,,,,,,,,,,,,,,,,,3.780667,,446.464531,EAQ_CBB,49,741.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5502,0.545256,140.302667,146.334000,859910.000000,286.636667,1.199041,6719.458750,,,,,,,,,,,
96,random,4000,0.000000,True,True,formal_main_scalability_uniform,2455595207,3519210096,8985222.500000,586492.000000,567988.000000,7369,1800377.619375,1456.978000,1801834.597375,4000,4000,0,3368,,,,,,,,,,,,,,,,,,,,3.817000,,445.175398,EAQ_CBB,49,991.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7368,0.542888,141.997000,146.623000,1154480.000000,288.620000,1.187648,8985.222500,,,,,,,,,,,
96,random,5000,0.000000,True,True,formal_main_scalability_uniform,4100950027,584899054,11178572.500000,730676.000000,701433.000000,9149,2796876.214125,1812.068500,2798688.282625,5000,5000,0,4148,,,,,,,,,,,,,,,,,,,,3.780000,,447.284302,EAQ_CBB,49,1232.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9148,0.546568,140.286600,146.135200,1432109.000000,286.421800,1.205400,11178.572500,,,,,,,,,,,
96,random,6000,0.000000,True,True,formal_main_scalability_uniform,3460033728,2838729038,13368718.750000,874910.000000,838478.000000,10921,4015326.843125,2169.059000,4017495.902125,6000,6000,0,4920,,,,,,,,,,,,,,,,,,,,3.767000,,448.808903,EAQ_CBB,49,1476.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10920,0.549451,139.746333,145.818333,1713388.000000,285.564667,1.219512,13368.718750,,,,,,,,,,,
96,random,7000,0.000000,True,True,formal_main_scalability_uniform,1192722588,1413921189,15723765.000000,1026388.000000,993230.000000,12893,5506729.901500,2549.391000,5509279.292500,7000,7000,0,5892,,,,,,,,,,,,,,,,,,,,3.814571,,445.185997,EAQ_CBB,49,1714.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12892,0.542972,141.890000,146.626857,2019618.000000,288.516857,1.188052,15723.765000,,,,,,,,,,,
96,random,8000,0.000000,True,True,formal_main_scalability_uniform,3698867310,3879177836,17909551.250000,1170250.000000,1120166.000000,14667,7175653.738250,2900.583000,7178554.321250,8000,8000,0,6666,,,,,,,,,,,,,,,,,,,,3.777000,,446.689026,EAQ_CBB,49,1979.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14666,0.545479,140.020750,146.281250,2290416.000000,286.302000,1.200120,17909.551250,,,,,,,,,,,
96,random,9000,0.000000,True,True,formal_main_scalability_uniform,1147797395,3010572121,20099338.750000,1314342.000000,1268565.000000,16437,9051354.996000,3262.966500,9054617.962500,9000,9000,0,7436,,,,,,,,,,,,,,,,,,,,3.792000,,447.775925,EAQ_CBB,49,2209.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16436,0.547578,140.951667,146.038000,2582907.000000,286.989667,1.210328,20099.338750,,,,,,,,,,,
96,random,10000,0.000000,True,True,formal_main_scalability_uniform,989070292,348661039,22338476.250000,1460754.000000,1406459.000000,18267,11160906.316250,3624.737500,11164531.053750,10000,10000,0,8266,,,,,,,,,,,,,,,,,,,,3.786400,,447.658107,EAQ_CBB,49,2460.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18266,0.547465,140.645900,146.075400,2867213.000000,286.721300,1.209775,22338.476250,,,,,,,,,,,
96,random,1000,0.000000,True,True,formal_main_scalability_uniform,1524004277,1884911883,1316415.000000,28050.000000,139808.000000,1732,65850.431750,126.004000,65976.435750,1000,1000,190,542,,,,,,,,,,,,,,,,,,,,4.507000,,759.638868,EMDT,0,34.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732,0.577367,139.808000,28.050000,167858.000000,167.858000,1.845018,1316.415000,,,,,,,,,,,
96,random,2000,0.000000,True,True,formal_main_scalability_uniform,2543363866,3068455561,2676507.500000,57530.000000,288000.000000,3385,268286.977500,259.060000,268546.037500,2000,2000,349,1036,,,,,,,,,,,,,,,,,,,,4.802500,,747.242442,EMDT,0,37.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3385,0.590842,144.000000,28.765000,345530.000000,172.765000,1.930502,2676.507500,,,,,,,,,,,
96,random,3000,0.000000,True,True,formal_main_scalability_uniform,355316633,1176721861,4371865.000000,87978.000000,432000.000000,5712,659184.861000,391.956000,659576.817000,3000,3000,790,1922,,,,,,,,,,,,,,,,,,,,5.188333,,686.206001,EMDT,0,39.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5712,0.525210,144.000000,29.326000,519978.000000,173.326000,1.560874,4371.865000,,,,,,,,,,,
96,random,4000,0.000000,True,True,formal_main_scalability_uniform,1618061584,3443192727,5663537.500000,109164.000000,576000.000000,7579,1132380.081000,506.328000,1132886.409000,4000,4000,1189,2390,,,,,,,,,,,,,,,,,,,,5.153500,,706.272361,EMDT,0,41.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7579,0.527774,144.000000,27.291000,685164.000000,171.291000,1.673640,5663.537500,,,,,,,,,,,
96,random,5000,0.000000,True,True,formal_main_scalability_uniform,2859657486,1791129195,6977452.500000,127996.000000,720000.000000,9737,1744810.186500,615.992000,1745426.178500,5000,5000,1825,2912,,,,,,,,,,,,,,,,,,,,5.148200,,716.593914,EMDT,0,43.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9737,0.513505,144.000000,25.599200,847996.000000,169.599200,1.717033,6977.452500,,,,,,,,,,,
96,random,6000,0.000000,True,True,formal_main_scalability_uniform,1272437194,389571751,8360557.500000,147686.000000,864992.000000,11953,2527154.745250,727.868000,2527882.613250,6000,6000,2412,3541,,,,,,,,,,,,,,,,,,,,5.193167,,717.655491,EMDT,0,43.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11953,0.501966,144.165333,24.614333,1012678.000000,168.779667,1.694437,8360.557500,,,,,,,,,,,
96,random,7000,0.000000,True,True,formal_main_scalability_uniform,1368844119,3591220218,9613240.000000,166430.000000,1012784.000000,13946,3354517.518500,839.252000,3355356.770500,7000,7000,2894,4052,,,,,,,,,,,,,,,,,,,,5.186714,,728.162409,EMDT,0,47.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13946,0.501936,144.683429,23.775714,1179214.000000,168.459143,1.727542,9613.240000,,,,,,,,,,,
96,random,8000,0.000000,True,True,formal_main_scalability_uniform,438879622,3055121144,11251572.500000,194084.000000,1162048.000000,16593,4552324.820500,969.192000,4553294.012500,8000,8000,3635,4958,,,,,,,,,,,,,,,,,,,,5.292750,,711.011727,EMDT,0,44.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16593,0.482131,145.256000,24.260500,1356132.000000,169.516500,1.613554,11251.572500,,,,,,,,,,,
