experiment_name,algorithm_name,run_id,point_seed,algorithm_seed,TOTAL_TAGS
formal_main_scalability_uniform,DQTA(k_max=3),13,1050437634,3604475770,1000
formal_main_scalability_uniform,DQTA(k_max=3),13,943806387,2483717432,2000
formal_main_scalability_uniform,DQTA(k_max=3),13,3702026684,14493260,3000
formal_main_scalability_uniform,DQTA(k_max=3),13,1726458537,2850341048,4000
formal_main_scalability_uniform,DQTA(k_max=3),13,3505287106,1202783510,5000
formal_main_scalability_uniform,DQTA(k_max=3),13,2739920477,4168751722,6000
formal_main_scalability_uniform,DQTA(k_max=3),13,778176666,4016415794,7000
formal_main_scalability_uniform,DQTA(k_max=3),13,2384707130,3653948151,8000
formal_main_scalability_uniform,DQTA(k_max=3),13,2869952118,162981895,9000
formal_main_scalability_uniform,DQTA(k_max=3),13,909671553,564577760,10000
formal_main_scalability_uniform,DQTA(k_max=3),14,2249877574,1401132172,1000
formal_main_scalability_uniform,DQTA(k_max=3),14,3409623535,120401989,2000
formal_main_scalability_uniform,DQTA(k_max=3),14,2185098187,944998357,3000
formal_main_scalability_uniform,DQTA(k_max=3),14,1231661080,663344631,4000
formal_main_scalability_uniform,DQTA(k_max=3),14,342997099,3007447457,5000
formal_main_scalability_uniform,DQTA(k_max=3),14,986364574,3196479688,6000
formal_main_scalability_uniform,DQTA(k_max=3),14,2708147089,4096739091,7000
formal_main_scalability_uniform,DQTA(k_max=3),14,2361016452,3229633011,8000
formal_main_scalability_uniform,DQTA(k_max=3),14,3978957680,2304435037,9000
formal_main_scalability_uniform,DQTA(k_max=3),14,1718243239,373396365,10000
formal_main_scalability_uniform,DQTA(k_max=3),15,2286490167,3144380378,1000
formal_main_scalability_uniform,DQTA(k_max=3),15,3167369515,2824428366,2000
formal_main_scalability_uniform,DQTA(k_max=3),15,2611256519,1186320313,3000
formal_main_scalability_uniform,DQTA(k_max=3),15,1120948785,3843604538,4000
formal_main_scalability_uniform,DQTA(k_max=3),15,2426769766,832560165,5000
formal_main_scalability_uniform,DQTA(k_max=3),15,614268524,3027296550,6000
formal_main_scalability_uniform,DQTA(k_max=3),15,3347888340,952244757,7000
formal_main_scalability_uniform,DQTA(k_max=3),15,2719344630,3611067098,8000
